,아이디,댓글 내용
72,  Taeng Sic, @De mag  범죄 아닌데요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 님 기분나쁜거랑 범죄인거랑은 구분하셔야죠
73,  김성근, @De mag   뇌물준건 범죄인데 접대는 범죄가아니에요 신기하게도 세금내는곳들은 합법입니다
74,  De mag, @김성근  하긴 그런곳은 범죄가 아니긴한데.. 이걸 뭐라고 말해야 할까 해서 그렇게 퉁쳤네요ㅋㅋㅋㅜ
75,  De mag, @Taeng Sic  예 죄송합니다 그냥 틀렸다고 말해주면 될껄 굳이 비꼴것까지야 있나요 이러나 저러나 좋게보는 행위는 아닌걸
76,  바쁘다바뻐 현대사회,더러움
77,  ᄋᄋ,드러움
78,  00,범죄고 나발이고 마누라 자식새끼있는 애비들이 할짓은 아니쥬?
79,  내 밥을 왜 엎어!!,13:33 여기부터 규진이랑 윤철이 뭐 하냐?ㅋㅋ 다들 너무 칼각이라서 더 웃김ㅋㅋ
80,  카에,물마시고 있었는데 뿜었..ㅋㅋ
81,  YY Qweqq,개잘생겼는데..?
82,  아기서진,하윤철 진짜 설레게 생겼엉ㅜㅜ
83,  ᄆᄆ,본방보면서 저장면 너무 웃겨서 개쪼갬ㅋㅌㅌㅋㅌㅌㅋㅌㅌㅋㅋㅋ개웃겨 뭐하는거야
84,  bts아미아미아미,칼군무
85,  ᄒᄇ,ㄹㅇ 일부로 웃기려고 넣은듯
86,  다 꺼저 entp 몰라?,주단태도 했으면...ㄹㅇ 개웃겻을 듯...ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
87,  라더님딱한솔만보는꿈뜰이,규진이는 익숙한데 하윤철이ㅋㅋㅋ
88,  픂퓨, @아기서진  아니 잠깐 프사 뭔데
89,  J,13:40 떼잉 쯧 22분이잖아
90,  문방구,👇수련이 해피엔딩 원하시는 분
91,  떡볶이,문별이쁘다
92,  문방구, @떡볶이  ㅋㅎㅋㅎㅋㅎㅋㅎㅋㅎ
93,  설빈,손가락임티없어도 좋아요 많이 받을수있으셨을꺼같은데요~?
94,  주단태인생뺏은백준기ᄏ,"난 심수련 망했으면 좋겠는데? 민설아 입장에서 심수련 같은 엄마는 제일 극혐임 딸 골수도둑,살인범좋아하는게 정상이냐? 형량이라도 제대로 채우게 하든가 그것도 안하고"
95,  박희야,배로나도
96,  로건리,수련씨   헤피엔딩하게해주세요 ㅠㅠ
97,  민설아[안나  리], @로건리  오빠???
98,  탱탱이들, @주단태인생뺏은백준기ᄏ  ㅇㄴㅋㅋ그건 주단태 죄뒤집어쓴거임ㅋㅋ
99,  jiyeon,13:14 골드바는 그냥 드세요 이거 ㄹㅇ존멋ㅋㅋㅋㅋㅋㅋ 표정 진짜 한심하게 쳐다보네ㅋㅋㅋㅋ
100,  xiixv1215,심수련 부캐:나애교강마리 부캐:제시카강신모 교육부 장관 부캐:댄싱머신실제였으면 댄싱 머신 교육부 장관이라고 영상 조회수 높았을듯ㅋㅋ
101,  좀비피글린,둠치 땃치 둠치 땃치 아 앰어 댄싱뭐신
102,  장우영,하윤철과 규지니: 조합원 설명회에서의 칼군무.
103,  _블랙이좌_,ㅇㅈㅋㅈㅇㅈㅋㅈ
104,  이렌세,역시 펜하 사이다 역할은 퀸수련이 최고인듯 퀸수련 없었으면 어쩔뻔했어
105,  김갑용,서딘...이라뇨
106,  신가온, @소소랑랑  컨셉이시죠?
107,  🌸 살랑 🌸, @소소랑랑  뭔소리세요 ㅋㅋㅋㅋ 그런 님이 더 답답하세요
108,  륶끼륶끼,사이다 역할이라는데 펜하 잘되는거로 들은 잼민에다 다른 배우들 연기력이랑 배우들사이의 연기합은 개뿔도 신경쓰지도 않고 김소연 배우가 잘해서 펜하 잘된다 ㅇㅈㄹ…그리고 심수련 칭찬하는 댓글에 와서 아니거든요~김소연이 잘해서 펜하 잘되는거예요~이딴말 하는거 보니까 최소 사회성 씹창난 초딩이네ㅋㅋㅋㅋㅋ
109,  심애교,누가 김소연님 연기 못한다고 욕하고 난리쳤나요 ㅠㅠ 극중에서 수련이가 제일 사이다라는 말이잖아요.. 굳이 이지아님 관련댓글에 더렵혀야 맘 편한가요?
110,  ¿Cómo estás, @소소랑랑  잼민아 초 치지마라
111,  피오라,@소소랑랑 잼민이는 펜하 보지 말고 ebs나 봐라
112,  흐흑바, @륶끼륶끼  애 울겠다ㅋㅋㄱㅋㄱㅋㄱㄱㅋㅋㅋㅋㅋ 아 말하는 거  개웃곀ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 말로 뼈를 그냥 갈아버리네
113,  리정혁, @소소랑랑  진짜잼민아 발닦고 쳐 자라제발 댓글 쓴 내용만 봐도 진짜 잼민이다
114,  성이름,13:33 아니 뭔데 ㅋㅋㅋㅋㅋㅋㅋ 옆에서 수화도 아니고 대체 머하는겨 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 선거운동 율동임....?ㅋㅋㅋㅋㅋ
115,  MSG,ㅋㅋㅋㅋㅋㅋㅋ하윤철이던가 표정 왤케 해맑아ㅋㅋㅋㅋ
116,  Rona,Suryeon the badass mom. 😈💜
117,  토깽이,"근데 거짓말이 아니라 우리나라법이 존나 답답함 아니 사형을 안할거면 제도를 없에던가 아니면하던가 안할거면 차라리 형량좀 존나 때려 박든가ㅡㅡ,,, 미국 예로들면 중범죄자들 형년100년넘는 사람도 있음 우리도좀 시원하게 형량 때리던가 난 비난아님 개인의견 아직 어려서그런거임 다시한번 말하는데 양해좀 어려서 그럼 개인생각"
118,  queen ROYAL,와 어리신분인데 이렇게 법에 대한 올바른 지적을 하시다니 우리 나라 미래가 밝군요 :) 옛날부터 말이 많고 다들 법이 답답한건 알지만 고위층들이 자기들 범죄 덮는 수단으로 쓰기도 하고.. 현실적으로 하루아침에 모든게 올바르게 바뀌기 힘든게 참 안타깝네요..
119,  토깽이, @queen ROYAL  양해해주셔서 감사해해요. 왠만한분들이 답글달땐 다 욕인데 이렇게 답글 달아주시는것만 해도 감사해요. ^^
120,  이름 뭘로 하냐,진짜 인정 우리나라는 땅도 좁은데 만약 피해자랑 가해자 다시 만나면 어쩔 려고 내가 들은 피셜로는 범죄자들은 자기들이 안잡힌다고 생각해서 형법을 아무리 높혀도 일시적 으로만 떨어진다고함 미국만 봐도 형법이 높아도 범죄율은 높음 그렇다고 우리나라 형법이 문제가 아니라는건아님 그러니까 범죄자 잡힐 확률도 높이고 형법도 높혀서 1석 2조로 높혔으면(지금 까지 중1의 뇌피셜 이였습니다 너무 욕하지는 말아 주셨으면)
121,  신재연,"다들 자기 빠져나갈 구멍으로 법 만드는 것 같아요 정작 거기에 죽어나는건 국민, 답답한현실"
122,  ᄋᄋ,대륙법과 영미법간의 차이때매 어쩔수없음.. 미국은 범죄에대한 벌을 받는 개념인데 우리나라는 교화의 목적이라서..
