,아이디,댓글 내용
248,  박달떵,수련이 생각할수록 불쌍함..수련이네가 주단태네랑 관련 없어서 좋긴하지만 오해 하나로 인생 망가진게 너무 불쌍함ㅠㅠㅠㅠㅠㅠㅠ
249,  진석경,"펜하3 최고의 캐미는 심강이다 심수련,강마리"
250,  hy,솔직히 시즌1부터 퀸수련은 혼자해도 됐었는데 지금은 혼자 하기에는 주단태가 너무 이리저리 빠져 나가서 삼마마가 절대 신임하는 강마리 도움이 필요함...
251,  박효정,공감가여 수련이가 아무리똑똑해도 주변에서 도와주지않으면 좀 힘들어요
252,  김민기,이번에야말로 강마리 찐갱생 했으면 좋겠다 물론 시즌1때 행동이랑 시즌2 막판에 사람 못고쳐쓴다는걸 보여줬지만 딸인 제니도 로나한테 영향 받고 갱생 했듯이 부모인 강마리도 제니한테 영향 받아서 이번에야말로 갱생 했으면....
253,  boram yu,"""골드바는 그냥 드세요"" 이 부분 왤케 좋죠 ㅠㅠ"
254,  김지아,그냥 너무 복잡하게 하지말고 다 죽고 환생해서 잘 살았음 좋겠어
255,  한영지,어떻게보면 이 드라마가 사회에 알리는 건지도 모르겠네요 법으로 처벌할수없는 나쁜놈들에 대한것들...부터
256,  김승재,11:27 천장에 나비 장식과 다음에 보여주는 나비 문신... 무슨 의미일까..
257,  맡이,썸네일심수련 : ㅋ강마리 : 응 아늬야~~
258,  픂퓨,뭔가 강마리 손들고 있으니까 반사~ 이러는거 같음
259,  🍈Olivia,사장님!! 초코바 1인분요오~!!!!
260,  spirit world,"15:08 I love the way she walks in the office, Aye Go is back 😍😍"
261,  서영_,"아니ㅋㅋㅋㅋ 그와중에 이규진이 ""얏 너 일루아놔?""이럴때 겁나 웃기넼ㅋㅋㅋㅋ"
262,  김서연,13:37 ㅋㅋㅋㅋㅋㅋㅋ아니 옆에서 안무? 같은 거 할 때 겁나 웃기네 ㅋㅋㅋㅋㅋㅋㅋ
263,  유디의 상상속 꿈나라,13:34 손짓 왜이럼ㅋㅋㅋㅋㄱㅋㅋㅋ
264,  나연,그래서 누가 몇시간안에 얼마를 받았을까 ㅋㅋㅋㅋㅋㅋㅋㅋ
265,  도레미파솔라시도,진짜 이거 궁그매...
266,  펭귄,솔직히 누명이라고 하기엔 자기가 할테니까 가라고함ㅋㅋㅋㅋㅋㅋ
267,  고운쌤이미래,13:33 아 윤철 제발 잘생긴 얼굴로 그런 거 하지마 ㅠㅠㅠㅠ
268,  스모어,20:30 이 부분 왜 계속 돌려보게 되지.. 은근 중독성 있음
269,  빨간띠,법이 벌하는건 아무의미가없다악마는 악마가 상대한다 가슴에 와닿는 말이네요
270,  지애,하윤철 이규진ㅌㅋㅋㅋㅋㅋㅋ본방보면서 웃겼음ㅋㅋㅋㅋㅋㅋ
271,  LUNA KIM,드라마가 산으로가냐.. 이거 보다말았는데 아직도 하는구나;
272,  감자도리,근데 펜하에서도 우리나라 법이 무능한거 ㅇㅈ함 근데 ㄹㅇ 우리나라법이 다른나라법에 비해서 무능함 ㄹㅇ
273,  케이크를먹으라고해빵이없으면,20:35 연기 맛깔나셔 진짜 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
274,  메데이아 진심녀💜,16:07 규진이 왔다~
275,  지아언니가 나라세워,단발이 이렇게 잘 어울일이냐구….ㅠ 💖👇🏻수련언니 단발 계속 보고 싶은사람 ..
276,  One Fine Day !!!,석경이 찾을때 삼마마님 동원하면 되겠네.
277,  안녕히 계세요 여러분,13:13 골드바는 그냥 드세요 여기 표정이랑 목소리톤 둘 다 개좋아서 이 부분 자기 전에도 생각 남;;
278,  (이름없음),수련.. 법을 못믿는건 동의하지만 주단태랑 똑같은 사람처럼 되지는 말아요
279,  유하솔,강마리가 송회장하고 신뢰를 제대로 얻어서 가능한일이다
280,  공처,0:01 나만 수련쒸한테 놀란건가
281,  하윙,강마리는 어딜붙든 다 잘어울리고 듬직하네 수련이 많이 도와줘라…
282,  장시안,진짜 주단테 녀석 복수하길....
283,  파란나무,다음화도(사이다)기대하는 중
284,  한우마블링,이지아는 뭘해도 예쁘다 안 어울리는 스타일이 없어
285,  호롤롤롤롤,송회장님ㅠㅠㅠㅠㅠㅠㅠㅠ진짜사랑합니다감사합니다 사이다 오천개마신것같습니다ㅠㅠㅠㅠㅠ
286,  김찬우,"왜 긴머리와 단발머리를 교차해서 장면을 내보내는걸까 난 차라리,, 단발머리로 유지해줬으면 긴머리의 심수련은 너무 약해보여.."
287,  정치와법,오윤희가 나애교처럼 살라고 했다고 냅다 문신하고 머리자르는 심수련... 심수련 오윤희 찐사랑이다오윤희 부활하고 윤희수련로나마리제니+삼마마까지 행복하게 사는 엔딩 원함
288,  가야리,3:25 송회장님 귀여우셩..
289,  박남규,4:45 멜로디 너무 좋네잉
290,  Habe Lee,마리 수련 조합도 좋은듯.... 오윤희 살려줘...
291,  아 싯팔 진짜,24:19 심수련씨 다리근육 폭발.......갑자기 득근했네 ㄷㄷ
292,  갱얼지,크..삼마마 회장은 진짜 든든하다
293,  ᄏᄉᄏ,15:09 나 는 나애교 이 걸어오는 장면 너무좋아ㅠㅠ 살짝 껄렁껄렁하면서 몸살짝 흔들면서 걸어오는거ㅠㅠ
294,  I'm unknown,Every time I watched this video I was left satisfied
295,  박서진,13:22 해이거 나만 웃긴가 ㅠㅠ
296,  하늘하늘,13:06 강마리의 협박 ㅋㅋㅋㅋㅋㅋ 협박 진짜 잘하시네여 ㅎㅎㅎㅎ 귀엽고 무서운 협박
297,  송순택,이건 경찰이 일을 잘못하고 대한민국에치한이자 부정부패 이다
298,  박지민,강마리 가발보고 일주일 웃을거 다 웃었네
299,  HoSung Jung,"회장이면 저정도는 해야지...회장님 짱!!!...""내사람"""
300,  럽메론,중간에 백퍼 고비 한 번 온다 거기서 강마리가 어느 선택을 하는지는 순옥이 아줌마 맘이겠지 뭐 ㅋㅋ
301,  페리도트,고상아도 심수련에 붙으면 배신하기 곤란하겠지?
302,  연우,순옥이 아줌마 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
303,  One Fine Day !!!,근데... 너무 빤하게 드러나게 주단태가 망할거 같이 다 보여주는 게 이상해... 주단태뒤에 천서진인가?
304,  심심한무무,아니 ㅁㅊ썸넬 치즈인더트랩인줄..ㅋㅋㅋㅋㅌㅋㅋㅋ
305,  수련,ㅋㄹㅋㄹㅋㄹㅋㄹㅋㅎ저도욬ㅋㅋㅋㅋ
306,  요닝,아놔 치인트 안봤는데도 바로 이해해버림ㅋㅋㅋㅋㅋㅋㅋ
307,  아윤,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 왜 썸네일 심수련 • 강마야 ㅋㅋㅋㅋㅋㅋㅋㅋ 강마 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
308,  seyeon Kim,4:47 이 음악 나오면 가슴이 뻐렁친다.. 수련이 머리쓴다 브금 ..
309,  미키,21:46 이때 심수련 웃는거 넘 예뿌당ㅠㅜㅜ
310,  희망,"""악마는 악마가 상대해야죠""  ""지옥은 죽어서만가는곳이 아니니까"""
311,  하얀색,24:21 응애 나 애기 단탱
312,  이윤주,12:04 이규진 상의 색 겁나 튀네ㅋㅋㅋㅋㅋㅋ
313,  약간_소금쟁이같기도하고,13:38 하박사랑 규진이 뭔데 칼 군무야 ㅋㅋㅋㅋㅋㅋㅋ
314,  내가퍼즐왕,"10:41 ""우린 같은 비밀로해요! 저들이 망하는거""13:15 ""골드바 쳐 드세요! 당분간 청아건설로 비밀해줄테니깐"""
315,  -왕결,40대 여배우들중에서 이지아가 제일 예쁜것같다 단발 미쳤네...
316,  핳,ㅆㅇㅈ..
317,  빵도리,헐..40대여써
318,  불알,전 김소연이 더
319,  콩순E,악마 얘기할 때링 단발했을 때 둘 다 미친 듯 진짜 ㅈㄴ 예쁨
320,  김나경,3:07 우리 송회장님~말씀하시는것이 꼭☆ 조직 보스☆같으셔~
321,  장성윤,17:25 좋좋소 빽차장
322,  예은,"13:41 너무 귀엽잖오 윤철쓰,,,"
323,  감기 빨리 낳아,썸네일 왜 강마리 아니고 강마예요ㅋㅋ
324,  Zt M,17:29 어! 백진상 차장님!!!! ㅎㅎㅎ
325,  텐마,13:47 이 부분 하윤철 나먄 멋있냐
326,  발광머리앤,새끼 마담 제시카 개 웃겨 ㅋㅋㄱㅋㄲㅋ
327,  리우,제시카ㅋㅋㅋㅋㅋㅋㅋ 아무리 그래도 저렇게 나오는 거 좀 부담스러움ㅋㅋㅋㅋ
328,  헤헿,저기 심애교씨 왜이렇게 예쁜가요…어후 너무 예뻐 미친다 진챠💖💕
329,  ESFP 소금,13:31 아 규지니랑 윤철이 칼각 왜 이렇게 귀엽지ㅋㅋㅋㅋㅋ
330,  성이름,ㅋㅋㅋㅋㅋㅋ저도 계속 돌려봄
331,  으이구씨!!!!!!!!,승무원이 비행기 이륙전에 그 안내방송하는거같이 칼군무네요ㅋㅋㅋㅋㅋㅋㅋㅋ(비상시 탈출구는 양옆앞 뒤쪽에 비치되어있습니다~이거 할때처럼)
332,  보배,난 왜 이 영상 보고 유전무죄 무전유죄가 생각나는 것일까...
333,  凸,단발도 장발도 다 잘어울리는 사기캐...
334,  채연,엄기준 존나 쳐맞는거 너무 시원해ㅠㅠ
335,  Frog,송회장님 필요한 금액 쓰라는거 너무 멋진데..?
336,  수현쓰,13:37 춤추는 줄 알았네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
337,  201963류은민,3:25 마마님 코 찡긋하는거 치인다..
338,  지민,이번편은 진짜 사이다였음.. 그리고 수련언니 앞머리 넘기니 더 예뻐진것 같음 그리고 각선미 뭔데..
339,  쥬쥬,심수련 '주단태 밀착마크' 사이다!!!
340,  ᄒ,이지아 단발 진짜 잘 어울린다
341,  취미채널계정,3:25 그래서 몇시간 안으로 찾았어요?
342,  n1cN2c.,22:30그의 반응이 너무 웃기다!! ㅋㅋㅋㅋㅋ
343,  이하영,"강마리 ,심수련,베로나,오윤희,주석경 ,삼마마,주석훈, 로건리 꽃길걷쟈~"
344,  猫咪,이건 다 주단태 때문에 일어난일이야 이 못된놈!!ㅜㅜ
345,  이찬우,시즌 2에서는 윤희 X 마리.시즌 3에서는 수련 X 마리.(Feat.수련에게 넉다운 당한 단태)
346,  QT....☆☆,그래도 로건 살아나서 다행임..ㅠㅠ난 로건 눈 갑자기 뜰때 소오름.......아무튼 진심 다해임ㅠㅠ
347,  영민,3:11 스무스 그 자체 10번은 돌려본듯
348,  아이 수근아 왜 그러니,13:37 나만 이거보면서 개처웃엇나ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
349,  IlllIIllIIlIIlIlIllIIlI IllIllIIIlIlllIIlI,13:24 로또아파트는 뭐냐 ㅋㅋㅋ
350,  다음생은시더,이정도면 수련이가 심장병으로 안죽은게 신기함....ㅎㅎ
351,  정서율,근데 윤희 천서진을 밀어서 죽은건데...어떻게 분수대 벽안에서 발견되고 어떻게 강에 떨어진사람 데리고온거지...? 내가 이해를못한건가...
352,  블랙,한명은 지독한 나르시스트가 의심되고..한명은 지독한 거짓말과 초특급 친일파 손녀인 사람.이둘을 꼭 섭외해서 드라마를 만들어야 됫을까!!!연기되고 인성좋은 연기자들 많고 많은데 참 아쉽군.!!!
353,  함효림,17:30 백차장..?
354,  룰루,13:33 칼군무 시작
355,  오유빈,22:40 에 다리 꼬는 거 너무 멋있어요!!!역쉬 퀸수련👍👍
356,  혜지혜찌,이거 및에 광고 주단태 뜨는거 뭔데… ㅋㅋㅋㅋㅋㅋㅋ
357,  아미💜,22:06 이때 순간 마두긴줄....
358,  정서영,심수련이 악마는 악마가 상대해야죠라고 할 때 펜트하우스2에서 나애교가 심수련한테 미친개는 미친개가 상대해야하니까 이거랑 비슷한 느낌이 든 건 나뿐인가...
359,  동화속지수,"나만 ""진척댁 부탁이면 뭐든해""할 때 찡한가.... ㅠㅠ"
360,  메로나,삼마마랑 제시카랑 심수련이랑 같이 로건리 빼내서 살려내고 그 다음에 윤희까지 부활시키자 ㅠㅠ
361,  펑,8:08서로 눈치보면서 안절부절 못하는게 개웃기네 ㅋㅋ
362,  믕유시인,흡사 세뱃돈
363,  Anggi Permatasari,"Oh My God 😭😭😭😭.... Please God, protect Shim Su Ryeon, Logan Lee, Seok Kyung, Seok Hoon, Bae Ro Na, Kang Ma-Ri, & Yoo Jenny 😭😭😭😭😭🤲🏻🤲🏻🤲🏻🤲🏻🤲🏻🤲🏻🤲🏻🤲🏻💕💕🌹🌹🌹🌹🌹🌹🌹🌹❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️✨✨...Please God 😭😭😭😭😭😭🤲🏻🤲🏻🤲🏻🤲🏻🤲🏻🤲🏻🤲🏻🤲🏻🤲🏻🤲🏻🤲🏻🤲🏻🤲🏻💕💕🌹🌹🌹🌹🌹🌹🌹💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜✨✨✨"
364,  김구피,근데 왜 주작질이야!! 할때 왜 심수련으로 싸인 안 하고 왜 나애교로 싸인했지..?
365,  Lilac Laconic,I haven't started Season 3 as many said the plot become more twisted than before. Should I watch it or not 😭😭
366,  Angela Trans,Def it is more intense
367,  냠냠단비,짭단태 : (쫄았는데 센척 함)
368,  은채,13:40 이거 진짜 ㅋㅋㅋㅋㅋㅋㅋ 율동하냐고 ㅋㅋㅌ
369,  luminous38,수련 시카 조합 찬성합니다 안죽었을 것 같지만 윤희 죽음도 밝혀내고 주단태 빌런도  벌 받게 하자근데 펜트하우스는 가발을 안쓰는 사람이 없네순옥킴이 가발을 좋아하나..
370,  응애나아기,순옥킴도 가발 일수도
371,  Just a stranger,LEE JI AH IS SO BEAUTIFUL
372,  기막공배,Yes
373,  얀얌,아니ㅠㅠㅜㅠㅜㅠ 마리가 협박하는 사람 귀엽자나아ㅠㅜㅠㅜㅜㅠ
374,  j,23:15 메이킹 주세요 🙏🙏🙏
375,  펜하진심녀,아니 록련도 너무 좋지만...단수 얼굴합 못잃어...액션씬도 너무 잘해... 스브스 이거 메이킹 주세요ㅠㅠ
376,  주영,14:18 원래 저런자리에선 저런농담 잘 안하는데ㅋㅋ 이규진이라서 가능하네ㅋㅋㅋㅋㅋㅋㅋㅌ
377,  Yunji Kim,17:24 빽진상님 여기서 보넹 연기 잘 하신당
378,  도유민,8:11 아니 스쿨버스 아저씨??!!
379,  오오잉,17:29 좋좋소 백차장??
380,  김영은,겁나 반가운 얼굴
381,  jka8612,백진상: 사장이야~ 이제
382,  광팬아이유,5:11 악마는 악마가 상대해야죠 나애교의 미친개는 미친개가 상대해야되니까 대사랑 완전 비슷함
383,  예뉘의 Diary,16:00 정지화면인줄ㅋㅋㅋㅋㅋㅋㅋ
384,  심수련,근데 썸네일 왜 심수련×강마라고 되있지ㅋㅋ
385,  백유빈,13:33 안무 시작
386,  김성수,로건이 가니까 강마가 왔다 ㅋㅋㅋ
387,  루피,13:32부터13:57  개웃기네 ㅋㅋ
388,  gohyun,13:07 ㅎ해여해여해여....ㅠㅠ ㅋㅋㅋㅋ찌질해서조아 ㅋㅋㅋ
389,  조민아,7회 때 있던 수련 앞에 있던 여자 사람 트웬티트웬티 왭드라마에 나왔던 채다희 엄마분이다!!!
390,  신은솔,난 궁금한게 이거 마무리는 어떻게 지으려고 이렇게 판을 키우는지 모르겠음. 지금 회수해야할 떡밥들이 잔뜩인데..
391,  1120김지환,13:14 와 진짜 존예다
392,  세영,하윤철 아이돌상이네
393,  몽글,강마리ㅋㅋㅋㅋㄱㅋㄱㅋㄱㅋㄱㅋㅋㅋㅋㅋㅋㅋㄱㄱㅋㄱㅋㅋㅋㅋㅋㅋ13:05 안해??!?!?!?!?!?? 안해????!??!??!???!? 안해???!?!???!?(앉고서)해
394,  너나TV,4:41 여기 심수련 말 집중할 필요있음범죄자들이 다시 세상에 나와서 잘 살고 있는게 우리나라 현실임..
395,  쏘닝Ï,난 김포에 사는디... 주단태가 우리 동네에 왔다는 상상하니까 소름 돋는다...
396,  이태중,가짜 주단태 털리는게 가장 사이다야 술병으로 뚝배기 깨버리기
397,  강태현 136번째 머리카락,그 주단태랑 회장님 그거 약간 베니스의 상인 느낌 있다
398,  경우야 이게 무슨 정우지?,13:47 아니 옆에서 팔락팔락 ㅈㄴ웃김ㅋㅋㅋㅋㅋㅋ
399,  나윤,심애교×마라탕
400,  선데이,일주일에 한 번 하는데 결방이라니...
401,  낙원악기점,돌아가신 어머니가 하늘에서라도 많이도와 주셔서 이정도왔지 사람 6~7명 살해하고 저렇게 잘먹고 잘 사는거면 만족해야지
402,  🦋AG,11:27 천장에 달린 나비 장식들...
403,  키냐,13:48 빠박 칼 박자
404,  일론 머스크 입니다~,아ㅏㅏ니 진짜 sbs들어가서 로그인하고 딱 준비했는데 시작하는 타이밍에 왜 캄퓨터가 꺼져서..아우씨
405,  놀란햄찌,6:47......약간 여기서 강마리 실루엣이 유아 숲의아이 느낌...머리도 그렇고 옷도 그렇고ㅋㅋㅋ
406,  yujuk,뭐래 유아라니 이게이씨
407,  놀란햄찌, @yujuk  아니ㅋㅋㅋ 실루엣이 그렇다는거죠 쓸데없이 겁나 진지하넼ㅋㅋㅋㅋ
408,  흐엥,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 오뉴날~~~ 난 조곰 나썬고세 누눌떠찌
409,  한우마블링,애교모습으로 수련이처럼 행동하고 액션이 있으니까 나는 그냥 사망..
410,  윤츄,15:41 시이발ㅋㄱㅋㄱㅌㄱㅋㄱㅋㅋㅋㅋ도랐
411,  2pm 팬이 된 설아몽몽🐶,내가 삼마마을 좋아하는 이유1.개착함2.돈 많음3.강마리랑 사이다 잘날림4.무엇이든 해줌5.걸크임6.목서리 큼7.강마리 칭찬해줄때마다 기분 개좋음제 채널도 놀러오세용!+ 좋아요22 감삼다!😀
412,  루피,진천댁은 강마리구요 ㅋㅋㅋ심수련 말하시는거 같네요 ㅎㅎ진천댁 부탁이면 난 뭐든 해가 심수련이 진천댁이란게 아니라강마리 부탁이면 뭐든 한다 그 이야기에요 ㅎㅎ
413,  2pm 팬이 된 설아몽몽🐶, @루피  엇 그러쿠나..ㅠㅠ 몰랐네용!감사합니당
414,  성원,"""악마는 악마가 상대해야죠"" 에서 악마  = 주석훈주단태가 ""내가 악마면 너도 악마새끼야"" 라고 한걸 생각하면서 석훈이 대사가 "" 나도 악마가 될거에요 ""심수련이 손잡는 악마는 나애교가 아니라 주석훈"
415,  Jayson Abella,Happy watching from Philippines 🇵🇭Super 😙 kdrama👏🏻😙
416,  나애교,헐 5등이다!!! 펜트하우스 너무 좋앙 ㅜㅜ마리야 이젠 진짜 배신하지 말고 수련이랑 편 먹어라ㅜㅜ><
417,  구름빵,13:37 할아버님 ㅋㅋㅋ 이규진 진짜 한심하게 본다
418,  구루샤 gulucha,아니 하박사는 왜 저렇게 된거야ㅠㅠㅠㅠㅠㅠㅠㅜㅜㅜㅠ 하박사 왜 백댄서 됐어 왜ㅠㅠㅠㅠㅠ
419,  J_ _,17:30 백차장님 정승네트워크 퇴사한다음 여기서 뭐하세요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
420,  아르타니스,23:57 와 씨 소리 경쾌한거봐보는 내가 다 머리가 아파 ㅠㅠ
421,  김준호,13:39 귀여워 죽겠다
422,  응애나아기,하윤철 꽃게탕
423,  E Non,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ저 사업 설명할 땤ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ저 액션들 뭐얔ㅋㅋㅋㅋㅋㅋ
424,  설탕이,05:11 killing point
425,  김무교,송회장님 너무 카리스마 넘치시구 멋져요~꺄항
426,  파렴치,이 드라마 배우들은 남아날 에너지가 없겠다…감정소모가 진짜 많겠네
427,  콩순E,이지아 진짜 개예쁘다
428,  토깽잉ꪔ̤̫,"아 하윤철 어쩌면 좋아 너무,귀여워ㅠㅠㅠㅜㅜㅠㅠㅠㅠ"
429,  르네ෆ̇,저거 드라마간 한데 명문고 이전됐으면 그 학교 학생들 개빡쳤을듯ㅋㅋㅋ 기껏 힘들게 공부하면서 다니고 있는데 이전시켜버리면ㅋㅋㅋㅋ
430,  ᄋᄋᄋᄋ,17:28 에 좋좋소 빽차장님 나오신다ㅋㅋㅋㅋㅋㅋㅋ
431,  큐펫세상,13:22 ㅋㅋㅋㅋㅋㅋㅋ
432,  민서,하 진짜 수련 짱이쁘다고ㅜㅜ
433,  솔석,썸네일 강마 먼데욬ㅋㅋㅋㅋㅋㅋㅋㅋ
434,  숫총각들 개통시켜주는 여자,나애교 : '골드바는 그냥 드세요 ''ㅋㅋㅋㅋㅋㅋ
435,  sojeong108,13:55 옆에서 율동하는거같이 왤게 웃기냐 ㅋㅋㅋㅋ
436,  누구일까요,와 ㄹㅇ로 섬네일 처음보고  주단태가 마두기인줄;;
437,  severus snape,이제 심수련좀 내버려 뒀으면ㅠ
438,  쌉찰떡,12:04 규진이 블라우스 깜짝이야;;
439,  I Love SIA,12:11 이때 주단태 나만 귀엽다고 생각함?
440,  김영대진심녀,썸네일 강마리 수정됐네ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
441,  사람,11:32 나비가있네..?!
442,  Hazelnut,‘심수련’이라고 쓰고 ‘빛’이라 읽는다
443,  미니,근데 남편이 여자들과 노는걸 보면 아내는 무슨 심경일까?
444,  hap bee,22:38 메이킹 보고 다시보니까 심수련 웃참의 결과물ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
445,  JH Park,17:30 빽차장님..!!!! 회사 잘 운영하시고 계신줄 알았는데....하
446,  Ai Robot,13:51 웃기넼ㅋㅋ
447,  yoo N,5:11 프라다를 입는다
448,  드레이코,ㅁㅊㅋㅋㅋㅋ
449,  영인,썸내일에 강마리 라구 적어야하는데 강마 라고 왜있는데여 ㅋㅋㅋ
450,  메롱,궁금해서 그런데요오윤희는 진짜로 죽어서 안 나오는거예요?
451,  한스,헤라펠리스 살면서 포상금 5억이면 누구나 할수 있는거 아닌가.
452,  초연,ㅇㄴ 썸넬에 중간에 엄기준 ㅎㄷㄷ하고 있는거 개웃기잖앜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ핰ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
453,  실수쟁이(딸랑이💗),오윤희 살아나라!!제봘..
454,  이하연,나만 썸네일 첨봤을때 강마리 치인트인줄알았나..
455,  민쩌미2.16만명째 구독자,22:12 짭단태 흑역사
456,  편안한 빵큐,"썸네일에 강마리의 ""리""자는 빼먹은건가요 ...? ㅋㅋㅋ"
457,  공백율,12:04 혼자 빨간 블라우스 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
458,  녹시아,짭단태는 그냥 자기 엄마랑 동생 죽게 만든 찐단태 가족만 망하게 하고 그냥 남들 안괴롭히고 잘살았으면 좋았을텐데 ㅜㅜ
459,  D E,15:06 하윤철 웃는거 너무 스윗하다고…
460,  짱구,4:28윙크
461,  억개,13:46아 진짴ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
462,  L.B Ari,아닠ㅋㅋㅋㅋ 심수련은 그대로 심수련인데 강마리는 왜 끊겼엌ㅋㅋㅋㅋㅋㅋ 강마는 누구입니까 근데 강마리 유동필 보면서 무슨 생각할까...참...참담하겠다
463,  까대기신,아닛 17:29 좃소 빽차장님 아임니까 ㅋㅋㅋ
464,  ᄅᄋᄏᄏ댓글로만 구독자 3190명 찍기#arcane freq,ㄹㅇㅋㅋ
465,  DDun DDun,심수련 개머싯서ㅠㅠㅠㅠ
466,  이창민,17:30 오우 백차장님...?!
467,  이지아 쳐돌이,13:33ㅋㅋㅋㅋㅋㅋㅋ
468,  박성재,오윤희불상해ㅠㅠ
469,  와니,05:10 악마는 악마가 상대해야죠13:14 골드바는 그냥 드세요
470,  한예윤,11:32  때 오윤희 인 줄(오윤희여야 하는데..ㅜ)
471,  류인찬,송회장 자기 사람이라면 끝까지 자기룰에서 도와주는거 리얼 굳 다른사람한테도 강미라 부탁이라면 뭐든 해준다 저리 쉽게 말이 나올정도면 ㅎㄸ
472,  Ethan. c. s. Eom,10:22 그와중에 레드제플린 락앤롤 부르고 계시네ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
473,  키스갈겨,13:05 하윤철 날 가져 존나 잘생겼어 ❤❤❤❤
474,  my story,제시카의 통쾌한 한방은 사이다 수준을 넘어섬... ㅋㅋㅋ
475,  JS HG,마마님 말투 매력있엉~~><
476,  자래,9:15 유..유재석?ㅋㅋ
477,  발광머리 앤,강마리 보고 순간 손민수인줄 착각함ㅋㄹㅋㄹㅇㄹㅋㄹㅋㅋㄹㅋㄹㅋㄹㄹㅋ
478,  계란이,13:46 슉슉
479,  iftlatlw,When is Logan joining the revenge and reuniting with Su Ryeon?!
480,  Criss Unknown,I'm wondering the same thing.....
481,  떡상전달해드립니다,17:28 빽차장님…
482,  패용,김연철 배우님 너무 귀여우셨음
483,  도정후,13:40 윤철찡: V쁘잉V
484,  O Baekhyun,13:39 귀여워
485,  박달빛,"24:18 퀸수련 겁나 멋져ㅠㅠ 단발도 너무 이쁘다 진짜,,ㅠㅠ 그리고 이제 강마리 x 심수련 둘이 쥬단태 복수 하자!!!"
486,  ISFP,"13:33 볼때마다 생각하는데 윤철, 규진이  저거 왜하는거임ㅋㅋㅋㄲ??? 수화하는건 아닐테고 저게 뭐야ㅋㄱㄱㅋ"
487,  acme_리얼,수련심!! 님 너무 멎져요ㅛㅛㅛㅛㅛㅛㅛㅛㅛㅛㅛㅛㅛㅛㅛㅛㅛ이이이이이이이ㅣㅣㅣㅇ이이이잉ㅇ 그리공 너무 섹시해요 다리꼬을때 와.. 밖에안나와ㅆ어ㅕㅕㅕㅕㅕㅕ
488,  은영김,13:54 ㅋㅋㅋㅋㅋㅋ
489,  우탄울라,아닠ㅋ조비서 뭔겤ㅋㅋㅋ
490,  김지용,17:26 빽차장님 ㅋㅋㅋㅋㅋㅋ 여기서 보네
491,  아이이아,ㅋㅋㅋㅋ 강마리 개웃겨 ㅋㅋ
492,  이채영,주단태가 심수련을 공격하는 방법: 목 조르기 ㅋㅋㅋ
493,  난꿈뜰이야,상황:마리씨가 수련씨집 앞 까지 찾아옴 수련씨:흐에엑!
494,  솔읾_Solyi,썸네일 심수련×강마 강마 실화냐고 ㅋㅋㅋㅋ
495,  박정하,마리 너무 멋있다.... 근데 나라도 도와줄거같음자기 딸 왕따 당한 거 도와주고 지켜준 사람인데......
496,  마라탕먹고싶다,..ㅎ그ㅎㅎ헉..!! 미쳐쒀 다들..!!흐헉.. 다들 미춰쓰어어ㅓ..!!
497,  woji w,ㄹㅇㅠㅠㅠ다시보고 싶었던 부분♥︎♥︎♥︎
498,  배배롬,해!  뭐얔ㅋㅋㅋㅋ
499,  Luis K,21:32 심수련 뭘 입든 무슨 헤어스타일을 하든 다 예뻤는데… 이 머리는 진짜 존예여신임…
500,  은비얌,13:40 칼군무 아무도 못 따라와
501,  이창민,조폭마누라 언니 성격 안주겄네 ㅋㅋㅋㅋㅋㅋ
502,  키냐,1:45 미쳐쒀
503,  정한별,11:46 여기 수련쓰 입모양 짱신기하넹 복화술같다
504,  정이형,마리 제니 모녀가 펜하 시즌 3개 통틀어 가장 철든(?) 사람들인 듯.. 변화가 많았다고 해야하나 ?
