,아이디,댓글 내용
232,  유수지,신곡 넌좋은사람은 처음 들을때보다 들을수록 좋은곡인듯 매일 듣고 있어요. 용리더 미성에 기절~~
233,  한잔술로,아 콘서트 가고싶다
234,  꿀꿀,sg워너비에 무형문화 번호 주고 노래 많이시키고 수출도 하자 ㅠㅠㅠㅠㅍ
235,  랄라랄라,찬성요 ㅋㅋㅋ
236,  레모나라규,굿
237,  전영애,미투~~~
238,  레이첼,"MBC, 놀뭐 제작진, 갓태호pd님, 저와 음악취향이 같으신 유야호님 정말 감사합니다 큰절받으세요유야호 애창곡이 타임리스 였기에 sg워너비가 언급되었고, 그걸 놓치지 않은 갓태호님께서 기획해주셨고, 그로인해 sg워너비를 소환했고덩달아 저의 추억도 같이 소환하였으며, 우리의 진심이 닿았을까 기약없던 그들은 빠른시간 내에 컴백하여우리곁에 보석같은 노래로 다시 돌아와준 sg워너비이모든 과정을 이뤄주신 놀뭐제작진 너무 감사드립니다 🙏🙏🙏🙏🙏🙏🙏"
239,  돌체콜드브루,최고의 무대 ~ 최고의 가수~ 비나이다비나이다 김태호 피디님께 비나이다~🙏🙏🙏🙏팍팍한 일상에 단바같은 울 오빠들 ❤️❤️놀뭐에서 연말 콘서트 열어서 볼 수있게 해주세요🙏🙏🙏김태호 피디님 때문에 지난 10여년을 워너비없이 잘 지냈는데 지금은 현생을 살 수 없을정도로 힘든 상태이니 책임지세요🤣🤣🤣워너비 연말 콘서트 좀 열어주세요😁😁😁마지막으로 용준 오빠 사랑해요❤️❤️❤️❤️❤️
240,  에라이씨부레,뭐해 올려
241,  최복땡이,제발요!!!!!
242,  Pooh YJ,연말콘서트 불러 must have love 불러주시면 죽어도 소원이 없겠어요
243,  shop JinMi,WOW..!!  ♡_♡
244,  Name,해바라기 이 노래 왤케 좋냐..
245,  수지시,정말 sg워너비는 대박 최고 그밖에도 많지만 너무 좋다 와우
246,  정조,12:32 동생이랑 열심히 아이엠드라운드 조종쓰하다가 석햄 웃참 실패하는거 듣고 바로 쳐다보며 마이크 잡는 따수운 리더 용햄...w🐻w
247,  정수진,울 용리더 그런 모습에 자꾸만 치이네요~ㅠㅠ
248,  정미현, @정수진  저두요.
249,  잉쿠,20:29 김진호 나이수 다음에 애드립 성량  실화냐.가성 진짜 개지리네ㄷㄷㄷㄷㄷㄷ
250,  heen kyne,앜 너무 좋아요 sg워너비!!!고마워라~~
251,  선.,덕질할 영상 떨어졌는데 이렇게 3년만에 신곡 내주고 활동햐는 모습 보니 너무 좋네요ㅠㅠㅠ
252,  JPssam,몇번을 돌려보는거냐지노야 멋있다아~~
253,  킹크랩,코로나끝나고 콘서트 달려갑니다~~!!
254,  샛별ë  꿈다방,듣고 있으면 너무 행복해져요😸
255,  happiness,워너비 최고 🤍🤍🤍🤍🤍
256,  아름다운세상,"김진호님은 노래 한곡한곡 한마디한마디가 진심인 사람... 본인이 노래고, 노래가 곧 김진호인 느낌ㅠ 물론 sg 워너비 모두 노래를 사랑하는게 보이지만 세월이 가면 갈수록 김진호님 다시 보임^^"
257,  윤,"8:49 이석훈 유죄 모먼트,,,"
258,  앙기아마르시빵트,여기가 내 누울 자리인가❤
259,  돌체콜드브루,같이 누웁시다🙏🏻용준 오빠 옆자리에 나란히 누우시죠~
260,  M K,"SG워너비 김진호는 M.O.M의 '바라만 본다'를, 김용준과 이석훈은 정상동기의 '나를 아는 사람'을 즉석에서 불러 MSG워너비를 감동하게 만들었다.기사까지 써놓고 왜 때문에 편집이죵? 놀면뭐하니 제작진 선생님들 우리 같이 봐요. 님들만 보는건 반칙입니다😭😭😭"
261,  see noh,진짜 신나게 부른다
262,  류준열,세상에 나온 은둔고수
263,  땅하늘,유야호아 sg 워너비랑 잘 어울려. 김진호 웃껴 죽것어 .
264,  하뚤셋,이런 거 안 보고 다들 유투브로 뭘 보는고지?
265,  스카디SkaDi,"바라만 본다, 나를 아는 사람도 풀어주실때까지 숨참습니다... 허업...."
266,  무민,이 분 돌아가셨답니다 글 내려주세요😂
267,  조감수,제가 다시 살렸습니다
268,  서쿠니가 마시는 삼다수,제가 불사로 만들었슴다
269,  정유현, @조감수  좋은분👍감사해요~*
270,  이상순,용준 용준 용준  !!!!
271,  몽글,진짜 가웅이 슴장해진다
272,  박바이올렛,세분다 너무 좋아요  각자싀  매력이 넘치는분들  입니다
273,  Name,sg워너비 콘서트 티비에서 3시간정도 만이라도 해주시면 안될까요..? 코로나 때문에 콘서트도 못 가는데ㅠㅜ 이렇게 놀면 뭐하니에서 한 시간 밖에 못 보는 건 너무 감칠맛 나잖아요… 얼른 해주실거죠? 지금부터 숨 참고 기다리겠습니다
274,  정미현,김용준 노래 너무 잘하네요. 노래 좀 잘하는 잘생김 담당인줄로만 생각했었는데ᆢ노래 좀이 아니라 너무너무 잘하는 이었어요.
275,  동동동,16:43 용준님 미성고음 폭발할 때 석훈찡 씩 웃는거 넘 좋음
276,  정수진,장난 아니지요~^^  어케 저리 맑고 깨끗하고 시원하게 올릴까요~~ㅠㅠ
277,  정수진,찐친 둘의 케미도 참 보는 재미가 있네요^^
278,  정미현, @정수진  셋의 케미는 어떻구요?
279,  정수진, @정미현  네~  빼 놓아 죄송하네요~  삼형제 케미도 넘 좋아요♡ 흐믓한 미소를 짓게 하는^^
280,  너무이뻐,국가는 나서서 워너비 3개월에 앨범하나씩  그리구 유튜브가 대세인 요즘  전곡을 1루 한편 올리게해라지치고 힘든 삶에  이런노래가 주는 감동이란
281,  바스톰,무심히 듣다가 용준님 파트가 오면 갑자기 마음이 몽글몽글해지는거 같음  너무 예쁜 음색에  깜놀
282,  강민서,어쩜 저많은 사람중에 진호님 목소리 묻히지도않고 넘멋져요~역시 현두~~~♡♡♡
283,  슈니,여보 미안 오늘 또 여기서 누워야겠다
284,  Martin Kim,김용준 너무 좋아 미칠거같애
285,  돌체콜드브루,저는 좋아서 요즘 미쳤어요😭
286,  J9 J,신기하네요 무대 보는것만으로도 기분이 좋아지고 어느새 웃고있네요 ㅋㅋㅋ
287,  이호정,듣는 사람보다 부르는 사람이 더 즐거워 보이는 무대라 계속들어도 질리지가 않네요ㅋㅋmsg도 sg도 꼭 다시 만나요!
288,  버디랑이글이랑,김용준 살쪄도 살빼도 다 멋쪄욤❤❤❤❤❤❤❤❤
289,  까톡TV,피날레 보는데.. 화합의 눈물이 난다. 내 쇼핑몰도 이런 피날레가 왔으면 좋겠다.
290,  나다코코,감사합니다
291,  여름시러,둘다 살 빼도 안빼도 매력있어요 과체중만 아니면 됨ㅋㅋㅋㅋㅋㅋㅋ
292,  healingk,우리의 노래 넘 좋다 감동쓰ㅠ  sg워너비는 진짜 최고다  용준님은 사랑♡♡
293,  정수진,용준이는 사랑♡♡♡  동감입니다^^*
294,  채령,셋이서 노래할 때 항상 마주보면서 웃어주는 모습 너무너무 스윗해요♥ 노래할 때마다 진심이 느껴지고 빠져들게 되네요 ㅜㅜㅜ 활동 많이 해주셨으면 좋겠어요 요즘 이렇게 좋은 노래 정말 듣기 힘들어요ㅜㅜㅜ죄다 트로트 아니면 아이돌들... 역시 김태호피디님🤙 요즘같은 시기 힘이 되어가고 있어요
295,  이종호,와 진짜 저걸 보고 물 만난 고기 같다는 표현이 딱인거 같다
296,  화이팅,우리 용준오빠 보러 또 왔지 들어도 들어도 들을수록 좋다
297,  Bliss _,엠비씨 우리의 니즈를 정확히 파악하셨군요. 감사히 보겠습니다⭐️ SG워너비 신곡 ‘넌 좋은 사람’ 노래 너무좋아여 대박나길 !!
298,  김준서,갠적으로 죄와벌하고 광 보고싶엇는데 아쉽네
299,  별남,진짜 죄와벌은 죽어라 안부르네요...
300,  반임,마지막은 진짜 감동이였다..다같이 모여서 웃고 같이 부르는 모습이 보는 사람도 행복해지는..♥이게 찐이지 무엇보다 무대는 즐겨야지!
301,  와맙소사,마지막 워너비들 떼창 너무 좋은거 아니야고 ㅋㅋ 눈물이 울컥한다
302,  미나유,이렇게. 편집해서 열창하는 모습보니 넘 좋아요
303,  한나은,인성좋은 세남자가 사이도좋아서 무대를 갖고 노네요음악을 진정으로 사랑하는그대들은 나이스다~~
304,  현현시연,용준오빠 너무너무 조아요제발 계속나와주세요잘생겼다~~^^
305,  돌체콜드브루,맨날맨날 나와주면 좋겠어요🙏🏻🙏🏻🙏🏻
306,  김석우,용준햄  노래 넘 대박  골프  그만하고 노래계속해줘요  에스지워너비 영원하자요
307,  문정원,코로나 끝나면 콘서트 해주세요~~어디든 달려갈께요^^ 요즈음 처럼 힘든시기에 워너비 노래 들으며 버티고 있어요^^
308,  에스텔,msg워너비는 냉정하게 라이브보다 음원이 좋아서 음원만 자주듣게 되는데 sg워너비는 라이브가 훨씬좋아서 라이브영상만 계속 보게 되네ㅠ음원으로 자주들어야 순위가 올라갈텐데ㅠ
309,  윤,"노래들으면서 이렇게 행복할 수 있을까,,, 진짜 최고ㅠㅠ"
310,  강철심장,용준이 살 많이 뺐네…
311,  이외경,비법좀가르쳐주세요
312,  돌체콜드브루,오빠 다이어트 프로 하나 갑시다
313,  이규리,"SG 외길 인생 17년 차,,, 울 오빠들이 mbc간판예능 나와서 비히트곡까지 5곡 부르고 래퍼배우가 해바라기 안무해주고 NICE Wow 유행어 만들고 지석진님께 부모님 소리 들을 날이 올지는 몰랐다 몰랐어,,,상상보다 더 상상같은 현실,,,아 인생 진짜 살아볼 만한 것이다💛 사랑해 내 워너비 and 워너비 가문 흥해라"
314,  손재민,역시 SG워너비가 SG워너비 해냈네요.ㅋㅋ 여름에는 뭐니뭐니해도 SG워너비 노래 들어야겠네요.
315,  Misthios,다들행복해 보여서 너무보기좋다😭
316,  Younhee JUNG,그동안의 시간을 참 멋지게 산 것같아서 동시대를 산 사람으로 참 뿌듯하네요.  시간이 지나나와 그때보다 더 감동을 주는 가수는 흔치않은것같아요
317,  김정은,노래너무좋아요눈물이나네요
318,  GalaxyS21+,용리더 노래진짜잘한다 목소리도 너무이쁘고
319,  박경훈,이제 겨울 콘서트 기다릴께
320,  김경화,최고예요 진짜ㅠ0ㅠ 세분 덕분에 행복한 요즘이네요ㅠㅠ  sg 워너비~~ 나에겐 선물같은 가수ㅠㅠㅠㅠ♡
321,  summering,이제 셋이 나올 일 없나... ☹️ 또 보고 싶은데... 유스케 가능성 없나여~?
322,  신인철,진호형 목소리레전드시다.. 소름.대체불가
323,  곰녕,아니 어쩜 더 잘생겨지고..노래는 더 미쳤고...재밌는 무대센스까지 어쩜..제발 날 가져 이제는
324,  준서,너무 좋고 행복해지네요자주 노래 들을수 있음 좋겠어요^~^
325,  궁내채고의씽카볼투수,09:54 용준이형 음색 미쳤네 진짜..
326,  출구없는김진호,주기적으로 볼 영상 하나 더 추가SG 워너비 참 좋은사람들💛
327,,용준오빠.... 더 멋있어 지셨네요...
328,  요니,ㅋㅋㅋ아 용준오빠 저러케 얌전한게 둘이가 설치니까 나라도 가만히 잇어야겟다 해서라는데 ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ진짜 얌전해
329,  su joung park,속도 깊어~~셋 더 설쳐댐 안되니 개그쪽에 재주 있는 울 용리더님 참는거지.에효~~이래저래 참는 게 넘 많네.
330,  피즈치자,17:55 네?
331,  정미현,ㅋㅋㅋㅋㅋ 찐팬들은 다알죠?
332,  돌체콜드브루,김가마니님은 사랑이죠~
333,  gogod9581,호강하자 형들 초중딩때 형들을 20대 후반에 되어서 거리에서 만나는게 너무 반갑기도 하고 감동이었어. 아마 내 평생 몇개의 감동중 하나가 아닐까 싶다
334,  하은,저 이거만 보면 왜이렇게 막 벅차고 행복하죠 ㅠㅠ❤️ 삼시세끼보다 더 챙기는 영상이에요 ❤️❤️
335,  새벽검은달,"덕분에 SG워너비 명곡들을 다시 새길 수 있는 귀한 시간이었어요ㅠㅠㅠ 잠시 잊고 있던 노래가 주는, 가사가 주는 힘을 다시 한 번 느낄 수 있었습니다ㅜㅜ 허나 딱 한가지 아쉬운 점이 있다면 분명 존재했다던 sg워너비의 msg워너비 커버는 어디가면 볼 수 있을까요...? 부디 올려주시리라 믿습니다... 미리 감사합니다,,,🙂"
336,  이민아,올려주시리라  믿습니다~~~
337,  별남,도대체 왜 편집한걸까요????
338,  이경은,"언젠가, 어디선가는 풀어주겠죠.. 아님 풀려지든가.."
339,  • 292,최애옆에 최애. 그 최애옆에 또 최애웃는거 보는데 행복하다. 쭉 가자
340,  으니,Sg워너비 버전 바라만  본다 나를 아는 사람 내놔요 빨리ㅋ
341,  kk k,"사랑하는 나의 sg워너비 콘서트 넘 좋아요~~msg워너비, sg워너비 꽃길만 걷길!"
342,  강희정,김용준 몇달사이에 살 쫙 뺐네요? 얼굴이 순정만화에서 튀어나온거 같아요 ㅎㅎ
343,  용 gotit,좋다 W😄W
344,  도토리묵,이렇게 볼 영상 하나가 더 생겼다 ^-^ 나이스 w☺w
345,  nani k,김용준 이석훈 김진호 !!! 모두 유죄!!!한마디로 표현할수 없을만큼  큰 감동이 있지만그냥 '멋찌다' 이 한 단어로도 다 표현이 되네sg워너비 고맙다!! 지나고 나면 이 시기를 기억할 또 다른 예쁜 추억 만들어줘서😍😍
346,  밍밍,유죄!! 땅땅
347,  nani k, @밍밍  땅땅땅👍
348,  Mirror,마지막에 진짜 눈물 좔좔이다..... 화면 잡힌 사람 오디오 은근 키운 디테일부터 다같이 행복해보이는 그들과 나까지 행복해지는 음악까지 진짜ㅠㅠㅠㅠㅠㅠㅠㅠ 어케 안 우냐고 반칙이자나
349,  Claire Dunfy,용주니횽 댓글 많이 보시죠?? 노래 많이 해달라구요ㅠㅠ 언제나 용햄편입니다. 응원합니다!
350,  soii park,SG워너비노래넘좋은데 사랑의아픔이있는지금은들을때마다 마음이아프고 눈물남ㅠㅠ
351,  펭러뷰,용준오빠 목소리 너무 곱다 듣고 있으면 온세상이 맑아지는 기분. 신곡 넌 좋은 사람도 좋네요
352,  제이투현,진호너무귀엽다ㅋㅋㅋㅋ
353,  breeze,진호님🐻 진짜 W😊W!!! 온몸으로 행복하게 노래부르는 모습이 감동적🤍
354,  준혁,sg워너비 킬링보이스에도 나왔으면 좋겠다 하는사람 손!
355,  배hyun,나도 앞에서 듣고싶다ㅠㅠㅠㅠㅠ 김진호 멋있어 평생 노래해줘요
356,  얼렁뚱땅,노래를 부르는 본인들이 신나서 부르니 보고듣는 저는 더 흥이나네요..많은 활동하셔서 저 좋은 무대 노래 들려주시길...감사합니다..SG 워너비^^
357,  밍밍쌤,sg워너비는 노래를 진심으로 부르고 가슴으로 부르는 것 같다. 그리고 그게 고스란히 전달되서 뇌리에 오래 기억된다.평생 노래하자.. 일단 콘서트열어줘요오오오
358,  김지원,오빠들이 노래부르면서 진심으로 행복해보여서 보는사람도 정말 행복하네용 ㅎㅎ 용준오빠 진호오빠 석훈오빠 sg워너비❤❤❤ 평생 우리곁에서 노래해줘요^^
359,  김주연,진심!   진심!  진심!   진심!진짜~자주  만나고  십습니다~~~ wow^^
360,  쏘,진짜 안사랑할 수 없다ㅠㅠ  진호오빠  신나보여서 너무 좋음ㅠ W😊W
361,  Ri Tu,내 귀가 호강하는군  ㅋ신곡 덕분에 ing ᆢ
362,  무미랑,대한민국에 sg워너비있다~~ 유야호
363,  빈스어l비뉴,김용준 완전잘생김 옛날부터봐왓는데 이렇게 잘생긴지 이제알앗다는ㅋㅋ 앞으로 이마는 꼭 까시오👻👻👻
364,  ueen Q,김용준 목소리에 꿀발라놨다.
365,  Junilover,김용준. 이석훈. 김진호. 완전히 다른 음색. 한데 어우러지면 최고의 하모니. 들어도 들어도 너무 좋은 SG워너비.
366,  SG워너비 방탄 워너원에 진심임,"워너비들! 이제 몇 년 동안 생이별하는 일은 없기를 바랄게요 다시 예전 인기 찾았으니 앞으로 꾸준히 뵙기로 약속! 이젠 더 이상 과거형  ed가 아니라 현재진행형 ing인 그룹이니까!우리 햄들 개그캐니까 특집 제작해서 촬영장에서 맘껏 게임하고 노시게 하든가(웃지 말고 겨울나무 부르게 시켰으면)아님 유스케 아이유 언니 특집처럼 콘서트 형식으로 토크+ 노래하시게 하든가딩고뮤직 킬링보이스 섭외하든가 했으면....💚💖💜💙우리 햄들은 점잖은 그룹이 절대로 아닙니다요!그리고 용햄 빼고는 각자 솔로앨범도 많이 냈었으니까 솔로곡 서로 바꿔부르기 한 번 했으면 좋겠어요~ 예를 들자면, 용햄이 진햄 노래 부르고 석햄은 용햄 노래 부르고, 진햄은 석햄 노래 부르는 식으로 말이죠 저 김진호가 부르는 <우리 사랑했던 추억을 아직 잊지 말아요> 상상해봤잖아요?"
367,  HARU의 흔적,으앙 햄이라고 부르시는거 보니 찐 워너비팬이군요 ㅠ 저 중딩때 좋아하면서 용준햄 진호햄 동하햄하면서 우리 멤버들 부르는 애칭이라고 애들한테 말하던게 기억나네요
368,  SG워너비 방탄 워너원에 진심임, @HARU의 흔적  헤헷💚💖💜💙
369,  지오니,김용준 무슨일이야...너무 잘생겼잖아ㅠㅠㅠㅠㅠㅠㅠ흐헝
370,  스텔라루멘,풀메
371,  행복가득,잘생겼어요.❤
372,  ᄋ킴,김용준 당신 미성 덕에 귀 뚫렸어
373,  별빛 J,엠비씨 고맙다 고마워!!sg워너비 데리고 나와줘서!
374,  박시연콩,"없던 애국심도 만들어주는 아리랑이다 진심,,,, 십리도 못가서 발 병 완치될듯,,,💓 내 씨디피 워딨냐"
375,  최민정,18:30 그래 나 본 거지? 하 미친다 미쳐
376,  야호,"아리랑 노래 시작할 때 우리나라 전통의 것을 한 번 더 짚어주는 놀면 뭐하니,,, 그저 빛,,,"
377,  쩡이,하 추억..♡♡☆이거지..이거지...옛날 가수들 총 모집 해주세요 ㅠㅠㅠㅠㅠ 너무좋아ㅠㅠㅠㅠ힐링된다채동하님 하늘에서 보고계시죠~~? Sg워너비 지켜주셔서 고마워요
378,  수밍,명불허전 워너비 W☺️W 신곡도 나왔겠다!우리 이제 자주 볼 수 있을까요?😭
379,  장정은,하 이건 안할수 없다0:39 아리랑5:23 넌 좋은사람9:24 해바라기13:12 우리의 노래17:28 내사람
380,  nani k,삼일째 계속 반복 재생 중!!!20분 넘는 시간이 넘 짧게 느껴지네클라스가 다르다 sg워너비♡
381,  지돼,👍👍👍👍요즘엔 아이돌 엄청 나오고 옛날 감성 명곡 가수들이 너무 그립다. 진짜 듣는 순간 소름쫙악~~~너무 좋다
382,  festina lente,레전드그룹 SG워너비!!
383,  향진,sg워너비 정말 명품 보컬에 명품 텐션에  명품 비주얼  거기에  마음씨까지 명품 ~ 명품좌들~!!!!` 이렇게 완벽한 사람들이 또 있을까요?
384,  dolce,요즘 sg워너비 노래들으며 행복해하고있는 나를 발견했네요.
385,  싱싱,sg워너비 콘서트 가고싶다ㅠㅠㅠㅠㅠ
386,  그때가좋았지,나의 소원은..워너비 콘서트  가는것.. 오래오래 활동해주세요
387,  이경은,나도요!!!
388,  황찬TV,와.. 초등학생 5학년부터 고등학교 1학년 그리고 잠시 주춤했지만 28살 지금 그때의 추억이 되살아나며 순수했던 어린시절 아무것도 모르고 SG워너비의 하모니가 너무 좋아서 푹 빠졌던 시절 소몰이창법이 제일 멋있다고 생각했던 나 지금 와서 또 들어보니 순수한 감동을 정해주는 보컬그룹 SG워너비였네요 고마워요 저의 학창시절 순수함을 잃지 않게해줘서 ! 지금은 많이 세상에 물들었지만 SG워너비 노래를 들으며 잠시나마 어렸을적 순수함을 느끼고 갑니다 화이팅 응원해요 !!!
389,  이정은,부르는 이들의 표정이 너무 아름답네요 ~
390,  샤랄라,햄들 바라만본다랑 나를아는사람 불렀다고 기사에서 본 것 같은데… 영상 안풀어주시나요?ㅜㅜ 기대하고 기다렸는데ㅠㅠ 유튭에라도 풀어주세요🙏🏻
391,  ro se,Msg 가수보호차원에서 안보여주는거 아닐까요? 원가수보다 좋아서..ㅋㅋㅋ나얼님 영준님 가이드 사태처럼요..ㅋㅋㅋ
392,  츄루,덥티채널에서 보니까 용준님 연습하시던데 서쿤쌤지도 ㅋㅋㅋㅋ
393,  엘리,오늘도 이서쿤 당신은 유죄야.엠뚜루 사랑합니다
394,  쭈마스,"놀뭐팀, 유재석님 감사드립니다🙏 우리 SG워너비 오빠들 좋아해주셔서 진심으로 감사드려요🥰"
395,  자몽처돌이,너무 행복하다 w🥰w우리 이제 자주 봐요 어디가지마ㅠㅠㅠㅠ
396,  꿈나무,"조영수, 안영민 작곡, 작사가가 누군지정말 궁금해졌음요.어떻게 이렇게 좋은 곡을 쓸 수 있는지.와우~! 나이스~!!"
397,  D H,"전 소속사가 문제가 많은분이라던데, sg워너비 지금이라도 활동해주시면 좋겠어여  노래듣는것만으로도 힐링돼네요"
398,  레이튼,나온지 오래됐어요~앨범도 많이 냈는데 다들 그렇게 관심을 안줬죠
399,  성시경,문제가 그냥 많은 정도의 수준이 아니었죠 전소속사는.  ㄹㅇ
400,  너무이뻐,나중에 60되도 아니그이상되도 같이늙어가여  그리구 지금의트로트가 어르신들을 기분좋게 해준다면  나중에전국노래자랑에서는 워너비노래가 나오기를 ㅎㅎ 아씨 또 댓글달다가 울컥  ㅠㅠ 진짜 남자3명땜에 이게모냐고  ㅠㅠ
401,  꼬미,음이 있는 이야기를 하는 것 같네.. 노래로 울고 웃게하는데 이 사람들 뭐지? 이 묘한 기분? 그리웠어 SG워너비...💕
402,  유나림,내사람은 진짜..  개막식 때 초청해도 될 만한 그런 행복 단합 다 보여주는데?ㅠㅠ
403,  우야,마지막 내사람때 다들 잘부르는데 진호형 성량 얼마나 오지면 개 뚜렷하게 들리네 ㅋㅋ 사랑해 진호형 ㅠㅠ
404,  단순하게 살래,"워너비형들 노래중 광, 죄와벌, 세글자도 좋아했는데 아쉽 이래서 다들 콘서트 가나봄 아쉬운 마음 달래러 ㅋㅋ 명곡 정말 많은데 ㅜ"
405,  솜사탕,16:30 김용준....
406,  R,난 용리다가 참하게 부르는 게 여리여리하고 청순해보여서 좋음 ...남자한테도 그런 매력을 느낄 수 있는 거구나
407,  비싸게팔자싸게사서,내나이  33살 중고등학교  최고의 MP3최애가수..  하..  눈물이 납니다.. 정말 콘서트  여시면  꼭갈겁니다.  그리고  김진호형  저많은  사람들  소리다뚫고  나오네... 김진호..  레전드는  레전드다..마지막  피치터지는거  저게바로  흉내낼수없는 레전드의  감정에서  나오는  음이 아닐까..
408,  Haven Kim,진호 귀엽
409,  제이킴,누가 골프채 뺏었는진 모르겠는데 잘했어요~~ 다같이 즐기는 무대 뭔가 진짜 오랜만에 보는 기분이랄까?? 보는내내 너무즐겁다 ㅋㅋ 사방을 신경쓰는 진호오빠도 머리 찡하게 꿀발라둔 목소리 쿤디오빠도 이쁜 미성 용준오빠도 다 넘쥬앙~~~
410,  돌고래 mint dolphin,아 김진호보면 찐행복해ㅋㅋㅋ기분조아져쓰~!
411,  Joonhyuk Choi,나 20대때 SG워너비가 전성기라서 저 노래들 알고 느낄 수 있어서 다행이다. 새벽에 회사멜 보내놓고 과실주 마시면서 보다가 마지막 내사람에서 진심 눈물 터졌다. 고맙다..언젠가 코로나 끝나면 SG & MSG워너비 콘서트 하자..광클하다 안되면 그 옛날처럼 텐트치고 현장표 구하러 달려간다.
412,  스티치,sg워너비 노래들 다 좋고 목소리들도 감미로워서 귀가 힐링중
413,  브라운늘보,마지막에 내사람 다같이 부를 때 SG워너비는 진짜 행복했겠다. 그만큼 모두에게 인정받는 가수고 명곡이라는 그런 느낌.
414,  장복순,"SG워너비는 살은 빠지고,노래 실력은 더 업그레이드됐네요~!(그나저나 음색 왜 이렇게 좋냐...)"
415,  에스텔,다 잘하지만 김진호는 노래천재같어 신이내린 목소리와 가창력
416,  imomi(아이마미),용준 미성 넘 조아
417,  Zeu,놀면뭐하니 너무 감사드려요❤️ sg워너비 덕분에 완전 귀호강ㅠㅠㅠㅠ계속 노래해주세요!!!!!!! 덕분에 너무 행복합니당💙💙💙💙
418,  Aelee Jeon,몰랐던 노래들인데 가사 하나하나 절절해서 눈물이 나네. 아 옛날이여
419,  가올흴,"요즘 꿈 같은 삶을 살고 있는 것 같다 15년전에 전성기였던 레전드 가수가 2021년에 또다시 새로운 전성기를 맞을지 누가 알았겠어… sg워너비와 함께하는 지금 이 순간, 예능을 틀어도, 유튜브를 틀어도, 멜론을 틀어도 어딜가나 항상 눈에 띄는 ‘sg워너비’라는 이름.. 볼 때마다 믿기지가 않고 하루하루가 너무 행복하다"
420,  이경은,그러게요. 용가릿 유튭 내용도 기사 떴더라고요~ 울 용가리 연예인이었어~ 유명스타라구~!!!!
421,  sunny :,우리의 전통매듭.전통악기. 연주 속에 듣는 아름다운 노래 참 좋네요^^
422,  김성현,우리 평생을 살아가는 동안 만날 순 없겠지만 이토록 사랑했던 나를 잊지는 말아요 - 아리랑 -
423,  엔귀요미,가사가 따뜻하고 좋아요^^
424,  강지윤,17:52 창모님 꿈틀꿈틀 따라하는 김용준 너무 귀엽 ㅠㅠ
425,  말밤이,진짜 코로나만 아니면 SG워너비 콘서트 보러 간다 ㅠㅠ아.... 코로나 빨리 끝났으면 지겹고 지겹도록내 주식까지도 코로나에 잠식되어 답답터지는 현실!SG워너비~ 사라~아앙.... 해~에해~
426,  박지수,나는 초딩 때 차 부모님 차 타면 노래 테이프 노래 틀고 매일 무한 반복 들었는데 추억이다. 역시 가수는 목소리야 목소리가 좋고 잘 부르니까 사람 보는 시선이 달라져
427,  서윤 이,또 레전드 영상 나오나요?이 세 멤버  이상의 조합은 앞으로도 나오기 힘들죠 최곱니다
428,  후후먹잇감이군,세 멤버 70까지
429,  중고차민족,마지막에 다같이부를때 온몸에 소름이끼치면서 왜 내눈이 촉촉하지 .. 나만그런가요ㅠ
430,  별님,이거지 이거야 ㅠㅠ 내가원한게 모음집이였다고여 ㅠㅠㅠ올려주셔서 감사합니다💜 또 무한재생으로 한동안 죽어라 보겠네옄ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
431,  구독계,역시 덕질은 오래하고 볼일입니다:)
432,  변재일,토요일 이후에 sg워너비만 듣고있어요ㅠㅠ
433,  NY,"이전 놀뭐에서 아리랑 자막, 다른 곳에서 한 아리랑 자막이 원곡 가사와 다른 부분이 많았는데 그 부분을 시정한 게 인상 깊었어요 ex) 사람아 내 사람아->사랑하는 내 사람아, 다른 이 통해서라도->다른 이 품에서라도아리랑을 첫 무대로 한 것, 전통문양, 전통매듭으로 무대를 꾸민 것, 원곡 그대로 장구와 창을 무대에 담은 것, 우리의 것을 강조한 자막 모두 우리의 정체성을 k-pop에 실어 널리 알리려는 노력이 느껴져 더욱 의미있었습니다. 현재 문화재청에서 주관하는 대외활동을 하고 있는데 국가 예산 중 문화재 관리, 보존, 활용 등에 할당되는 규모가 가장 적다고 합니다. 그러니 많은 분들이 이렇게 일상 속에서 우리것의 가치와 그 의미를 인지, 실현해주시고 우리 유산도 꾸준히 관심 가져 주시면 감사하겠습니다!"
434,  미리닝,가사 수정 넘 좋아요♡
435,  구경훈이그립다,아 우리 우유빛깔 천상천하 유아독존 진호형 진짜 기분 좋았나보다 애드립 진짜 폭발이네 대단하다. 형님 꽃길만 걸으십시오. 행복합시다.
436,  재밌게살아요,노래하는게 정말행복해보인다ㅎㅎ보는사람도웃게되네
437,  MM K,착장 나이스라이브 w🤗w
438,  재은신,김용준이 목소리가 이렇게 깨끗했나???너무 고운데?!Sg워너비 노래 많이 듣긴 했는데 저렇게 맑은 줄 이제 알았네요
439,  행복가득,용준님~ 노래할때가 가장  멋있어요. 목소리도 👍
440,  hawjung1202 sim,진짜 선물같은 사람들용준석훈진호❤❤❤❤
441,  Eileen s,맞아요ㅠㅠ 세분 모두 너무너무 소중해요♡♡♡ 한분한분 보석들이죠.
442,  꾸글,보석같은 사람들~~너무 행복하네요
