,아이디,댓글 내용
269,  김종철,로나야 하고싶은거 다 하고 살아!(ღ◕ܫ◕ღ)
270,  selena oh,4:52 와중에 기자 딕션 오짐... 말 개빠른데 쏙쏙 들어오네
271,  뽀공주🐧,클락인가 그사람이 쉿하니까 천서진이 정색빠네ㅋㅋㅋㅋ
272,  백,민혁이 겁나 착해진거 뭐여......
273,  ㅇ,다음화부터 본격적으로 사이다랑 꿀잼 예상인데...결방이라니?!?!! 결방이라니?!!?!
274,  2022 happy,5:27 로나 뒤에 숨어있는거 보이네 ㅋㅋㅋㅋㅋㅋㅋㅋ
275,  백유진,"근데 솔직히 아직 이 정도는 복수의 세발의 피도 안되지하은별이 배로나한테 한 짓1. 헤라키즈들(주석훈 제외)이 빽으로 청아예고 들어가서 원래는 합격했어야 할 배로나가 예비 1번으로 밀림2. 배로나 입학하자마자 학교에 있을 때 쭉 집단 따돌림, 린치를 가하는 등 끈질기게 괴롭힘3. 지금까지 수 없이 배로나의 기회를 뺏으려 함 (청아예고 입학식 무대, 홍보모델, 청아예고 트로피 등)4. 자기가 한 짓을 전부 배로나한테 누명 씌움 (유제니 머리핀 훔치고 담배랑 성인 잡지 넣어둔 거, 유제니 왕따 시키고 배로나가 괴롭혔다고 한 거 등)5. 청아예고 대상 트로피로 배로나에게 큰 상처를 입힘6. 배로나랑 오윤희가 목숨 걸고 하은별 도와줬는데 하은별이 우유부단한 바람에 결국 천서진, 진분홍한테만 좋게 돌아가고 오윤희는 졸지에 납치범, 살인자 누명을 쓰게 되고 배로나 인생도 꼬일대로 꼬임주단태가 심수련한테 한 짓1. 심수련이 사랑하던 전남편을 사주해서 죽임2. 심수련 뱃속의 쌍둥이를 한 명은 주혜인과 바꿔치기하고 한 명은 자기 딸이라고 속임3. 나애교가 활동하기 위해서 계속 심수련에게 자신이 정해준 옷만 입도록 강요함4. 주혜인을 몰래 죽이려 함5. 심수련의 친딸인 민설아를 무시하고 감금, 폭행함6. 천서진, 오윤희와 불륜을 저지름7. 실제 심수련을 죽이려 함8. 심수련과 주석경을 이간질해서 주석경이 잘못된 방향으로 틀어지게 만듦"
276,  지원 유,천서진 주단태 샘통이당~~석훈이는 로라를 버리면 안될텐데.. ㅜㅜ
277,  이눈송[利嫰誦],3:50 김소연님이 저 클락? 할때 목소리 너무 좋으시다..🥺🥺
278,  Luna Lovegood,아니 이민혁 지가 뭔데 제니랑 로나랑 떡볶이를 먹고있냐 •••••••
279,  두콩이됬숨다 /리비♤,나는 떡보끼 먹을 남자도 없는뎅.... 제니랑 로나 부럽네에 역시 대학가면 남친 생기는 거였엉
280,  DTUPKL,13:08 15:27 My favorite scenes 👊💪Shim Su Ryeon fighting!!!
281,  지민,1빠이번 사이다 대박이였음스브스 밖에 모르는 여자....스브스 사랑해!!!
282,  최지우,은별이 진짜 성악하는 거 같다 겁나 자연스러워
283,  여덕,로나 천서진 딱 막을때 개사이다....🍷
284,  모아볼까??,0:49 베로나 언니 왤케 이쁘냐......
285,  드라마중독자,드디어 내가 좋아하는 궁합이 돌아왔어!!!! 배로나와 심수련이라니.... 그런데 천서진이랑 주단태가 이기면 이 드라마가 진짜 막장 중 막장 중 막장이다....ㅎㄷㄷ
286,  견알,진짜 심수련은 몇 번을 목졸리는 거야...목 상할까 봐 걱정됨...
287,  임민수,ㅇㄱㄹㅇ
288,  yellin,ㅇㅈ
289,  su Ji,10:03 주단태 쭈굴 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
290,  Hajoung Song,역시 지아 언니!!~ 액션 짱👍 너무 멋있어요~~ 퀸수련😍❤❤❤❤
291,  로 삐에,이제 복수의 시대가 왔군
292,  가녀린 아침,로나 별그대에서 전지현  아역? .?
293,  M SJ,맞아요
294,  ᄌ방망이,와 어디서 봤나 했더니 ㄷㄷ 어쩐지
295,  크림,맞아욤
296,  호구,주단태 트라우마 겁나 슬프네
297,  Yei In,Fighting queen Suryeon and Queen Rona
298,  BTS -Straykids-itzy,Wow I like this trailer 😍GO GIRLS
299,  김나경,10:02 주단태ㅋㅋㅋ큰 사고치고 집들어온 사춘기소년같앜ㅋㅋ 천서진이 엄마고 ㅋㅋㅋㅋ
300,  소다,어떻게 보면 로나랑 수련이 케미 좋음
301,  주석경,"심수련,배로나 홧팅"
302,  문채원,근데 어릴적 주둘리mom죽은거조금...불쌍..
303,  정미영,72듣 걸크러쉬~ 멋있는 배로나
304,  Julia,민혁이 캐릭터 너무 빨리 바뀌긴 했지만 그래도 저렇게 철든거 ㄹㅇ 이면 보기 좋긴 함.
305,  공개 안 함공개 안함,13:06 상처가 아직도 아픈가?
306,  가인,하 난 로나 영상 보다가 너무 똥머리가 잘 어울린다고 생각하는 1인..
307,  유쾌한학생,펜트하우스에서 각성하려면 무술 연마는 필연적이라는 것이 관절의 패닉
308,  텅빈내가슴뿐......,주단태 진짜 독하다... 진짜 엄마가 말한대로 돈 많이 벌긴 했네
309,  곰돌이 포근,내 생각이지만 이렇게 보면 짭단태도 불쌍한것 같음 ㅋㅋ
310,  Princess Anne Basa Ong,천서진이 이제 오윤희 대신 배로나 외칠게 ㅋㅋㅋㅋ
311,  콩나물파는편돌이,로나 머리묶은거 개 이쁘다..
312,  Z,"아직 아쉬워,,, 더더 더많이 통쾌하게 복수 가자"
313,  천서진,나 진짜 심수련 주단태 때릴때 진심 속 시원했음 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
314,  jane j,no one can stop people who have nothing to lose! go rona ✨
315,  woosol hong,근데 펜트하우스는 부활하우스니까 주단태(본 백준기)여동생 살아나서 심수련이랑 편먹는거 아닐까(라는 제 상상입니다)
316,  미니링,주단탱 보내버리자 퀸수련~!!
317,  HYEJU혜주,단태 주거 서진 주거 단태야 미안한데 넌 피나도 그 만큼 잘못 치르는 거라 생각해
318,  펭귄,1:12 순간 나는 로나가 저 맥주보고 마시고 싶다는줄 ㅋㅋㅋ
319,  암흑마녀,동정은가지만 저럴게 상관없는사람죽어가면서 살면안되지...그리고 저런일정말 많았을꺼야....
320,  송예나,"수련은 오윤희가 자기 딸 죽였다는것도 아는데저렇게 로나 돕고 윤희 살해사건 해결하려고 하는게 참.... 대단해 로나도 자기 죽일려고했던주단태 자식 석훈이랑 사귀는것도 대단 펜트하우스에서 멘탈은 로나,수련인듯 !"
321,  남자탁용삼,주단태 천수지구개발 사업 망했구나 몰락의 신호탄 😠😡😡
322,  tv마그네타,3:25 이때까진 하은별이 부르는줄알았구나.... 그러다가ㅋㅋㅋ
323,  쀼린공주,5:28  숨어있는 배로나
324,  복숭아푸딩,나만 주단태 넘어질때 불쌍해 보임?ㅋㅋ
325,  나사빠진,9:50 좋좋소 백차장?!??!
326,  지호,로나 썸넬 진짜 이쁘다ㅠㅠㅠㅠ
327,  곰돌이푸,1편이 젤 흥미진진했던 펜트하우스..
328,  루루,단태 입술이 제일 핑크색이네...
329,  마리,심수련 개멋있다 ㄹㅇㅠㅠ
330,  딸기였던것,14:42초 아니 무슨 윤희야 준희야 뭐야 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
331,  짱구에요,시원시원하다
332,  깡다구,여기 나온 배우들 왜캐 다 연기잘하지..특히 김소연...표정연기 베리베리베리굿
333,  강은정,클락크 리가 로나 키울 뜻..
334,  Sipaa,Hyeonsoo so pretty
335,  윤혜주,진짜 짱이야.. 퀸수련 갓로나.. ❤️‍🩹❤️‍🩹
336,  여친,사이다 개존잼
337,  Solgi c,3:30 천서진 표정변화 연기 진짜 섬세하다
338,  푸링💛,로나 왜이렇게 이뻐 ㅠㅜ♥
339,  학생,11:50 송회장님 이 자세 너무 간즤철철...
340,  아이즈원사랑해,근데 펜트하우스하고 1000억이 수지가 맞나...헤라펠리스가 평당 30억이라 그랬는데.. 대충봐도 펜트하우스가 100평이 넘는데...그럼 대충봐도 3000억 이상.....
341,  다이어트!다이어트!,평당 3천만원이라도 하지 않았나요🥺
342,  ᄋᄋ,평당30억을 말이라고합니까ㅅㅂㅋㅋㅋ
343,  꽹과리,무슨 평당 30억ㅋㅋㅋ 석유라도 뿜어져나오나
344,  레몬너구리, @꽹과리  석윸ㅋㅋㅋㅋㅋ이런 생각은 대체 어떻게 하시는 거예욬ㅋㅋㅋ
345,  명또깅,평당 1억5천이라고 나무위키에 있어욬ㄹㅋㄹㅋㄹㅋㄹㅋ 펜트하우스 450억입니다
346,  Polix,평당 30억이면 ㄷㄷ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 개웃기네 ㅋㅋㅋ
347,  버터,ㅋㅋㅋㅋ
348,  이쁜이, @다이어트!다이어트!  요즘 서울 변두리 땅값이 그정도 합니다.ㅜ.ㅜ
349,  J J,원래 담보 잡을땐 그렇게 하죠 대출 있는 집이 많으니까
350,  하하,0:57 여기에 민혁이가 있는게 난 뭔가 낯설음...인제 정신 차린건가...
351,  거북이🐢,10:35 꺼져!!!
352,  두개의 태양,참 온갖 스릴러로 전개하더니 이제와서 폭력으로 응징ㅜㅜ에효 이건 좀 아닌듯 ㅜㅜ
353,  또혼장,7:31 계속 눌러보셈 ㅅㅂ 존나웃기네 ㅋㅌㅋㅌㅌㅋㅋㅋㅋㅋㅋ
354,  햅빈,와 로나 예뿌당 ㅎㅎ
355,  솔이_Emelia,제발 석훈이랑 로나 다시 만나야해... 안그럼 나 평생 답답해 뒤질듯...
356,  강효은,심수련 짱 주단태 심수련에게 까불고 있어 ㅋㅋㅋ
357,  내 통장잔고 반쪼가리,0:29 너무 예뻐서 놀람
358,  김민수,하은별!로나한테 이게 뭐하는 짓이야!!
359,  siro ken,주단탱탱볼은 저리 가라
360,  히힣,자식은 어떻게도 지켜야지 엄마니까
361,  욥피,자식을 위해서 모든할수 있는게 엄마아니야?
362,  유튜브 반창고,엄마는 자식을 지키려면 무슨일이든 하는게 엄마라고__했잖아~
363,  Il I,주단태 견문색 패기라도 있는거냐? 어케 눈을 가렸는데 차를 피하누
364,  MT Huynh,"와..심수련,배로나 짱이야ㅠㅠ카리스마언니드류ㅠ"
365,  Foodie Life,Great video 😍😍😍
366,  코코,주단태 시원한 복수 상쾌해
367,  관 왕,이장면 너무 통쾌하다
368,  문방구,10:34 천서진 꺼져 너무 웃겨서 계속 돌려봤넼ㅋㅋㅋㅋㅋㅋㅋ
369,  라라tv,하은별 천서진 주단태 진짜 너무 밉다
370,  신한결,아니 티비 켰는데 또 닥쳐 나오코 천서진도 닥쳐 심수련도 닥쳐 뭐지??ㅋㅋ
371,  tlsgp S,단태 맞는거 꿀잼 ㅋㅋ
372,  Li key,역시 흑화해서 복수하는게 짜릿하다
373,  2306김예성,0:23 스터디존에서 말하면 안돼……
374,  지민,수련언니 옆머리 만드니까 더 예뻐진거 같은데나이 알았을때 솔직히 좀 마니 놀람
375,  시후어뭉,올림픽중계말고 펜하 방송해주세요~ㅜㅜ
376,  Reemyia Fairy,Queens for the revenge and we are here to support 🥺❤️
377,  ???,아니 나만그래...? 단태가 맞고 어릴때 일 보면 불쌍한데...사람 죽이거나 나쁜짓할때 내가 죽여버리고싶음 연기 졸라잘해...ㅡ어릴때 집이저렇게안됐으면 성질이 저렇게 안됐을까? 궁금하네
378,  chín Trần,I like hyunsoo so much😍❤❤❤
379,  ssu jing,로나 왜 이렇게 예뻐졌어ㅠㅠㅠ제니도 너무 예뻐 진짜 다들 스타일링 미쳤어💗💗💗
380,  신고은,저때 로나가 노트북으로 화면 본것중에 캐릭터? 같은거 어떤이야긴데 처음에 남자 한명이 여자 한명 좋아했다가 결혼하니까 또 딴애한테 반하는 건데 그게 힌트일수도
381,  gunwoo kim,15:30 어디로 가야하오...
382,  L.B Ari,아마도 가장 성장한 사람은 퀸수련과 갓로나가 아닐까 거기에 플러스 제니네(유동필은 꺼져) 지금은 고인(?) 인 오유니까지... 일단 모르겠고 너네는 행복해라 나머지는...몰라 다 디지던지 뭐+동필아...너까지는 행복하자...
383,"  그래니1,3 한국1위 anco","동필이 왜 꺼져야ㅠㅠ 누구보다 제니를 사랑하는데ㅠㅠ그저 마누라보다 자기 감옥 안가는거랑 돈버는게 약간 더 중요하고주단태를 위해서 오윤희 시신도 유기하고강마리,유제니에게 몹쓸말 뱉고도 또 주단탱,이규진 쪽 붙어서 천수지구 매입하다가 털리니까 ""지금 이럴때가 아닙니다!""ㅇㅈㄹ 하는것 뿐이지ㅠㅠ 능력이 더럽게 없고 대가리가 나쁜거뿐이지 착하고 정의로운 역할이라구요ㅠ"
384,  L.B Ari," @그래니1,3 한국1위 anco  사실...아는데 동필이도 행복해야죠...그죠..."
385,  노란딱지,와 울 할머니 뒤에서 운동하신다!(서울 시립대학교 음악관임)
386,  주단태`St,내가 살던곳인데 서울 시립대학교
387,  일월이좋아,"제발 더 시원하게 부탁드려요... 요새 체감 온도가 37,8인데 영하 20도 정도 되는 쿨링감 아니면 시원한 복수라고 말 못할듯"
388,  김민정,8월까지 언제 기다리냐... 늦게라도 방영 해주시면 안돼나요 제발😭😭
389,  아노댓,04:52
390,  김건남,심수련이 복수하는데 사이다 마신 듯이제 펜트하우스에 평화가 찾아오겠네ㅋㅋ
391,  또로롱,설명란에 현수님 어디갔어요 ㅋㅋㅋ 수련로나 복수 꼭 성공하길!
392,  밤규와 꾹이의 흩날리는 솜털,ㄷㄷ 진짜 소름인데 너무 통쾌함....
393,  울주특공대,짭단태가 복수하려는 이유가 잇엇구나
394,  SKY_RABBIT,13:45 killing point!
395,  아하,6:08 6:17조목조목 팩트로 천서진 날려버리는 로나ㅋㅋㅋ완전 핵사이다ㅋㅋㅋ
396,  정혜영,뭔가 주단태는 나쁜 사람으로 연기한건데뭔가가 불쌍해보여
397,  boram yu,수련이 단태 때리고 할 때 너무 속시원함
398,  김현수 진심녀,6:00 왜 귀엽지
399,  JYP 아이돌의 영상,"로나..복수 시작!!서진..망하기 직전!!수련..복수 시작!!단태..죽기 직전!!자..로나, 수련 복수 성공하자!!둘다 토끼같아♡♡"
400,  💘록련큐피드💘,수련x로나 꼭 복수 성공하자❤️❤️
401,  은희경,주단태 과거가 불쌍하긴 한데 너무 나쁜짓을 많이 해서 용서해줄 수가 없네~
402,  아이즈원사랑해,13:18 이 장면 보는데 자꾸 메이킹이 떠올라ㅋㅋㅋㄱㅋ
403,  꾸꾸,13:52 주단태 불쌍해보여ㅜ
404,  서예준,13:55 는 무슨 얘긴가요?
405,  유튜브 접음,6:42  배로나 힘 쌔다 ㄷㄷ
406,  주단태`St,오윤희기술 물려받았잖아 그러니 쎌수밖에 없지 ㅋㅋ
407,  유진좌,09:14 계속 눌러보세요
408,  아하,웃긴건 로나가 콩쿨 참여했으면 다 1등했겠지ㅋㅋㅋ하은별은 천서진처럼 만년 2등으로 남고
409,  승연랜드 (구독자 34명 감사해요!),헉..주단태가..저런기억이..ㅠㅠ 쫌불쌍하다ㅠㅠ
410,  천사화이트냥,배로나 인데 매로나로 봤어 ㅋㅋㅋ
411,  발랄한TV,아.. 주단ㅌ...가 아니라...백준기는 불쌍한 애였네...난 그것도 모르고...ㅠㅠㅠㅜㅡ
412,  moonyc2004,주단테 천서진의 최후가 얼마 안 남은 것 같습니다.  유동필도 심수련과 함께 주단테를 칠 것 같고요.
413,  로블록스 엘프,15:00 ㅠㅠㅠㅠㅠㅠ
414,  주선희,심수련 진짜 이쁘다...
415,  김도현,로나 시즌3에서 진짜ㅈㄴ이쁜듯
416,  JenHjoonie,"10:04 ""너한테 피해간거 없잖아"" 할때 짭단테 무슨 잘못한 강아지같냨ㅋㅋㅋㅋ말은 당당한데 그렇지 못한 태도"
417,  희봉김,그러게요 ㅋㅋㅋ저만 그런줄알앗는데 ❤누르고 갑니다
418,  우준하,9:24 짭단태 표정 킬링 포인트
419,  현도,00:26 얘들아 스카에서 그렇게 떠들면 쫓겨나...!
420,  대각교웃따,9:10묘하게 웃겨 ㅋㅋㅋㅋㅋㅋㅋ
421,  예이리언,16:19 주단태 뒷모습...어디서 많이 본거 같은데
422,  신짱구,15:21 와 주단태 사운드 플레이 잘하네 그리고 무빙도 완벽해..프로게이머할수 있을 인제 인듯..ㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷ
423,  뇌절인간좌,"14:45 엄마,윤희야~?"
424,  울머기,로나 너무 이쁘고 성악 너무 잘해 사이다야!
425,  2425최민석,11:26
426,  지우,"0:48 이쁘다,,,1:48 이쁘다,,,2))"
427,  레카셀YT_RecacellYT,15:59 와 심수련 분노하는 목소리에 치인다..🤍💗🧡💙💓💜💘❤️🤎💖❣️💚💛💕💝♥️❤️‍🔥💞😘🖤🥰😍🧸
428,  S S,6:44 배 로나 🔥🔥🔥
429,  nam nueng,Ronaa😘😘👏👏👏
430,  으에,아닠ㅋㅋ큐ㅠ 썸넬 겁나 심수련이랑 배로나 싸우는데 가운데 주단태가 한심하게 쳐다보는거 갇앜ㅋㅋ
431,  평범한 사람,"심수련, 아련, 우련: 그때부터 였어요 제가 Best Cross Driver가 된 날이"
432,  석로,둘 케미 너무 좋아... 수련 × 로나 ... 💕
433,  나이라,마지막 ㅋㅋㅋㅋㅋㅋㅋ개자연스럽넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ서쿤이 씬 빼놓고 ㅋㅋㅋㅋ
434,  지니,0:58 제니 치킨 떨어트림
435,  코코봉봉,1:03 제니 성인되자마자 술먹는거야? ㅠㅠ 우리 와기 성인된 거 실감난다 흑흑 ㅠㅠㅠㅠ
436,  가맥흰횅구기,5:35 따봉
437,  메로나,로나도 언젠가는 하윤철이 본인 친아빠라는 걸 알게될텐데... 어떻게 반응할까?
438,  크림,아마...원망하지 않을까요? 자기도 윤철이 친딸인데 은별이 때문에 이혼한게 원망스러워 할것같아요..
439,  율아의하루[Yulah],14:30 찐단태 아빠 아니예요?
440,  학폭당하는 학생,10:03 시무룩 단탱
441,  님,2:03 진짜 욕망에 넘친 부모 표현 누가 김소연님 보다 더 할까...
442,  라이니 소민TV,주단태 불쌍함ㅠㅠ그래도 사람들은 많이 죽였으니 벌은 받아야징~~그러개 왜 그랬어~~주단태으이그~~
443,  서현진일반인여자친구,아 미치겠다 단수 싸움신 개좋아했는데 저거 볼때마다 주단태 가가멜 밖에 생각안남ㅜㅜㅜㅜ내 감성 돌려줘..
444,  🐰주령,4:14 메이킹에서 가가멜 닮았다고 들은뒤로 자꾸 가가멜 생각나서 집중안대 ..
445,  독도는 한국땅,00:01
446,  오늘도 윤지♡,2연속 닥쳨ㅋㅋㅋㅋㅋㅋㅋ
447,  웃긴잼민이,6:43 너무시원
448,  핑핑이,8:38 날강돜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
449,  검스사랑 현아,왜나가 흥분하구 날리지 역시 쉽게는 안죽는구나 확 그냥 ㅜㅜ
450,  냠냠,언니 멎졍!!수련언니 너모 멎죵!!!언니 나 쥬경!!!!!
451,  ᄀᄎᄋ,0:21 아니 난 왜 저기서 저렇게 말하는거 눈치보이냐
452,  박유나윤 소리쏘립,주단태불상해ㅠㅠㅠ
453,  Ju Yeon Lee,5:36 부터 로나가 은별이보고👍🏻제스처 하면서 노래부르는거 나만 사이다고 나만 계속 돌려봄 ㅇㅅㅇ?
454,  빵삥뽕,따봉이 아니라 그냥 제스쳔데 ㅋㅋ
455,  Ju Yeon Lee, @빵삥뽕  따봉보단 제스처가 더 맞는 표현이겠네요! 감사합니다:)
456,  문채원,주둘리 맞는거 사이다!! ☺☺
457,  하콩,실력으론 은별이도 좋지만 배로나가 탑이라고 생각함 로나가 음이탈 낸 수도적고 맨탈도세고 해외가서 상까지 탄사람인데
458,  찬오,나도 일주일 스트레스 날라감ㅋㅋㅋㅋ
459,  계란후라이,어머 우리학교에서도 촬영하셧었네..ㅜㅜㅜ나만 못봐 ㅠㅠ
460,  타이타닉🚢,유재니 술먹네? 벌써 어른 됬겠네
461,  Yeji Kim,9:49 어 빽차장님..?!
462,  김다영,약간 배속한거같지않음?
463,  슬퍼여,단태도 나름대로 불상함ㅠㅠ
464,  11박수현,5:36 👍:)
465,  Sue Nam,로나 똥머리 세젤예🥰🥰
466,  22 09,제니랑 민혁이 같이 있는 장면 보고 나만 놀랐나…
467,  LIGHT NEW,석훈이 자꾸 아빠 아들인거 강조하는게 나중에 결국 아빠 아들 아니였다 이럴라고 그러나
468,  Up Jenny,Love Berona😍😍😍😍
469,  재쿠x허쉬,펜트하우스: 맞아도 안뒤짐
470,  휙!,주단태 과거 보면 또 슬프긴 한데 돈 없는 거에 좀 그랬으면 저 어릴 때 당한 아저씨한테 복수를 해야지 왜 지 눈에 좀만 거슬린다고 다 없애버리는 지는 모르겠음
471,  손승용,저 아저씨가 심수련 아빠니깐
472,  어묵을먹고싶은김두한, @손승용  저 아저씬 진찌주단태 아빠고 주단태한테 칼빵맞아죽음
473,  김도훈,15:25리신
474,  My Lover YUNA,9:50 좋좋소 빽차장
475,  Esther Cho,최고의 장면 로나의 하이 F 장면~~~
476,  아하,6:26 근데 뭐가 뻔뻔하다는거임?다 맞는말 아닌감...
477,  최준석,그런데 주단태 어떻게 보면 조금 불쌍하네 옜날엔 나빠 보였는데
478,  My Lover YUNA,14:41~14:45 중요한 포인트
479,  초정,김현수님 똥머리 넘 이뽀..
480,  을지,그래 빌런한테 불우한 과거 서사 안주는게 이상하지 신애리 연민정 금해상 양달희 민유라 주단태
481,  신잘생김.,👏
482,  죠니,로나수련.....🤍
483,  jun,9:50 백차장님 돈 떼먹혀서 빡침
484,  오징어 윌리니,썸네일 주단태 강아지가터 ㅋㅋ ㅋㅋㅋㅋㅋㅋ
485,  전준태,9분50초  백차장님 여기 나오네 ㅋㅋㅋㅋ
486,  이지원,날강도 ㅋㅋㅋ
487,  유니,로나야 너는 더 뻔뻔하게 나와도됑~~~~~더 흑화해서 사이다 더 만들자~~~그렇다고 나쁜쪽으로 흑화하지말고~~~
488,  방탄소년단,멋지다!!!!
489,  이시윤,"""닥쳐!"""
490,  Sinwook Kwaᅥ타뎌거규러ᅡ냥퍼ᅲᄃᄑ귶ᄅ ᄅk,"주던태 복슈 성공-""!!!!!!!!!!!!!!!"
491,  라이언,저기  과거회상때 아역단태 때린사람찐단태아빠네여 보니깐그래서 찐단태 아빠죽이고재산훔쳐서 심수련이랑 결혼한듯
492,  룬a,1:03 여기 맥주 먹는거 보고 잉?하다가 이제 대학생이지하고 납득하다가 다시 분명히 시즌1때 고등학교 1학년 아니였나 라고생각했는데 나만 그런가?ㅋㅋㅋ
493,  연서,민혁이랑 은별이 설대 합격했잖아여 ㅋㅋㅋㅋ
494,  진연두,배로나 넘나 예쁨
495,  눌러보셈,ㅋㅋㅋㅋㅋㅋ
496,  효크,와중에 빽차장 겁나 반갑네 ㅋㅋㅋ
497,  ㅇ,똥머리 진짜 너무 이쁘시다..
498,  김해강,흠.... 그럼 배로나 대역 성악가 분이 세계 탑급이란건가....?
499,  김민니차욘따라락,그냥 설정이 그런거죠 뭐 실제로 실력자시긴 하지만
500,  푼순이,사실 민설아 배로나가 자매가 아닐까 생각이듬 서로 닮았고 심수련이랑 분위기도 비슷함 근데 주석경이 유전자 검사로 친딸로 나왔으니 엄마랑 전혀 안 닮은 딸이네
501,  김ᄏᄏ,와 빵꾸똥꾸 엄청컸네 ㅋㅋㅋㅋ
502,  레카셀YT_RecacellYT,17:15 여기서 멈춰보면 긴머리에 선글라스 그리고 로건 가족중에 한국말 못하는 사람은 알렉스 리 그러면 알렉스 리 또 나오나
503,  존박의 독학외국어 - 외국어 독학하기,"신성우 형님, 오랜만에 드라마에서 보니 반갑네요. ^^ 한때 우리 제 또래 친구들 사이에서 우상이었는데 말입니다. ""내일을 향해서라면 과거는 필요 없지!"" ㅋㅋㅋㅋ 아무튼, 드라마인줄 알면서도 이 복수가 통쾌하게 느껴지는 이유는 뭐죠? ^^ 잘 보고 있습니다. ^^"
504,  이채린,이런 사이다 흑화면 더 흑화해도 돼요ㅠㅠ
505,  수수깡,단태 아저씨 되게 쥐상이네
506,  씹떡주작즈원,근데 단태가 저렇게 열심히해도 흥민이형 넘기도 힘들겠어..
507,  HYEJU혜주,와 이제이대로 쭈~~~~욱 이대로 .... 복수해조
508,  무지개다인,3:08 로나의 복수극9:11 퀸수련의 복수극
509,  달로,3:13 이거 천서진이 웃는게 하은별이 노래부르는줄 알고 웃는거 아님? 아님 말고...
510,  Reverse Apple The,맞음 원래 은별이가 뙇 등장하는 시나리오였는데 로나가 치고들어와서 근데 중간에 로나 목소리 알아들어서 표정굳음
511,  해니쓰,ㅋㅋㅋㅋㅋㅋ왜최예빈배우내친구닮았지..ㅋㅋㅋㅋㅋㅋㅋ내친구도최씨긴한데이름은틀리지만ㅋㅋ..근데 최예빈배우실제나이나랑동갑인거실화..🙄은별이 ㅋㅋㅋㅋ재밌는캐릭터네
512,  3소대말년병장,빈필하모닉(클라크 리) 가 로건리형 알렉스입니다
513,  갓누구와 친구들,ㅋㅋㅋ 날강도을 날강두라로 들었어 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
514,  조용한덕후,16:00 근데 보면서 문득 궁금한데 심수련이 차 안에서 하는 말을 어떻게 밖에 누워있는 주단태한테까지 들리는거지..? 창문이 열려있는건가
515,  seee na,6:23 넥스트 뤠벨
516,  보리 닷컴 com,썸네일 주단태 꼭 터미네이터 형님 같네
517,  파이어톡타_FIRE_TOKTA,13:38
518,  시아,썸네일에 극이 아니고 “ㅋ”으로 봤다
519,  백현부인,정상적인 사고면 부자돼라는게 당하지말고 당당하게 살라는거지 지도 똑같은인간이 돼라는건 아닌데
520,  Stella,0:55 제가 펜트하우스 안봐서 잘 모르지만저 남자분 원래 나쁜 역할 아니였나요…?지금 반성 한건가요…?그리고 이름이 뭔가요?ㅠ
521,  욥피,이민혁이요
522,  dazzlmin,원래 나쁜 역할 맞긴해요 근데 시즌3때 제니 아빠 돌아온 이후로 제니 아빠한테 찍혀서?요새 제니한테 잘해주는중인거예요
523,  Stella, @욥피  감사합니다;D
524,  Stella, @dazzlmin  자세히 알려주셔서 감사합니다:D
525,  yesssssssssssssss, @dazzlmin  근데 지금 이규진이 유동필 윗자리 아님?
526,  dazzlmin," @yesssssssssssssss  그렇게 볼수 있긴한데 완전 갑과 을의 관계처럼 위아래는 아니니까.... 주단태 밑으로 하윤철,유동필,이규진은 거의 비슷한듯..? 아님 단순히 민혁이가 갱생한걸 수도 있고"
527,  공부하자,어터케ㅔ..주단테 볼 수록 크롱 닮았다고옥..ㅜㅜ
528,  내가니 누나라니!!,PPL잘봣습니다♡
529,  뿌뿌미 린_Lynn♥,캬아ㅏㅏㅏ...
530,  배배롬,캬 사이다 ㅈㄹ.  ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
531,  재윤의일상채널,<영상 타임라인>0:01  미리보기0:21 복수의시작 배로나7:01 복수의시작 심수련16:59 배로나 심수련 투샷17:01 8회예고
532,  주선희,와...진짜 엄기준 불쌍하구나...
533,  승연랜드 (구독자 34명 감사해요!),오 저 3시즌 안봤는데 민혁 제니 배로나 오 콤비로변한건가유?
534,  폰준식,펜트하우스 우나 보체 포코 파 개좋아하네
535,  얄루얄루,로나 똥머리 존예...
536,  twice좋은재성,이지아 이누나 블레이드라서 아무도 못막음ㅋ
537,  주단태`St,내가 던파 블레이드 2차각성하고 지금 82 만들었는데 점점더 난이도가 높아져서 개빡세다 ㅅㅂ
538,  양해연,사이다 쩔엌ㅋㅋㅋㅋㅋ
