newsname
슬의생3 꼭이요^^요즘 슬의생보는 낙에 삽니다!!!!!
시청률 12.8
담주에겨울이울던데...정원이한테얘기하려나?
익준의 본캐가 너무 인간적이고 긍정적인 역할이라 그런지 광고도 많이 찍었네
이런 의사쌤 생각보다 많음 우리 동네 어린이병원 선생님도 그러심
조정석배우 이번에 진기주배우랑 영화들어가던데 ㅎ잘부탁합니다♡
응팔 도뇽룡 아빠 유재명 카메오 앞뒤로 나오넹
여기 나온 의사쌤들 비현실적이라고 하지만.. 그제 백신 맞은 가까운 동네 병원 의사쌤도 친절하시더라 🤗
시즌 3안하면 저 죽어요사람하나 살리는 셈 치고 시즌 3 해주세요ㅠㅠ
수도권
슬기로운 의사생활 9화 시청률 전국
슬의에서 나오는 의사들은 현실엔 없다는것.드라마로 만족합니다
익준오빠의 빅픽처
익준 오빠의 배려
익준남매는 천생적으로 유쾌상쾌통쾌
그래도 한순간의 사고로 응급실에 도착해도 안타까운 죽음을 맞이한다는것
응급실의 생과 사의 길 .. 한장면이 떠오른다 바로 옆에서 cpr 하던 의사쌤들의 노력애도 끝내 의식 잃고 돌아가신 분 그분을 잊을수 없다 죽음에 대한 공포를 직접 봤던 .. 그리고 울부짖던 보호자분 응급실의 긴박한 순간.. 되도록이면 병원 갈 일이 없게 몸관리 해야 한라는걸..
너무너무 감동이 넘치는 드라마이네요 계속 했음 좋겠어요 정경호님의 회상 ~산울림 노래인데 이렇게 좋았나여 빨리 발매 기다려요.ost까지도 짱이네요 설레이네요~~
당연히 지지 전탁구 선수들 하고 탁구를 치는데
물뿌리기 ㅋㅋㅋㅋㅋ
슬의생3 꼭이요^^요즘 슬의생보는 낙에 삽니다!!!!!
시청률 12.8
담주에겨울이울던데...정원이한테얘기하려나?
익준의 본캐가 너무 인간적이고 긍정적인 역할이라 그런지 광고도 많이 찍었네
이런 의사쌤 생각보다 많음 우리 동네 어린이병원 선생님도 그러심
조정석배우 이번에 진기주배우랑 영화들어가던데 ㅎ잘부탁합니다♡
응팔 도뇽룡 아빠 유재명 카메오 앞뒤로 나오넹
여기 나온 의사쌤들 비현실적이라고 하지만.. 그제 백신 맞은 가까운 동네 병원 의사쌤도 친절하시더라 🤗
시즌 3안하면 저 죽어요사람하나 살리는 셈 치고 시즌 3 해주세요ㅠㅠ
수도권
슬기로운 의사생활 9화 시청률 전국
슬의에서 나오는 의사들은 현실엔 없다는것.드라마로 만족합니다
익준오빠의 빅픽처
익준 오빠의 배려
익준남매는 천생적으로 유쾌상쾌통쾌
그래도 한순간의 사고로 응급실에 도착해도 안타까운 죽음을 맞이한다는것
응급실의 생과 사의 길 .. 한장면이 떠오른다 바로 옆에서 cpr 하던 의사쌤들의 노력애도 끝내 의식 잃고 돌아가신 분 그분을 잊을수 없다 죽음에 대한 공포를 직접 봤던 .. 그리고 울부짖던 보호자분 응급실의 긴박한 순간.. 되도록이면 병원 갈 일이 없게 몸관리 해야 한라는걸..
너무너무 감동이 넘치는 드라마이네요 계속 했음 좋겠어요 정경호님의 회상 ~산울림 노래인데 이렇게 좋았나여 빨리 발매 기다려요.ost까지도 짱이네요 설레이네요~~
당연히 지지 전탁구 선수들 하고 탁구를 치는데
