newsname
오래해야 하는데 제발 오래해주세요. 황제성형 난 좋음.치어업
김구라 발뺀거보니 종영 얼마안남앜ㅅ네 ㅋㅋㅋ
예전에 이야기 속으로 라는 프로그램이 있었다. 그 포멧 그대로 베껴서 지금 방영해도 히트칠거다
황제성 스토리는 항상 집중이 안된다. 그냥 지인들하고 대화하듯이 담백하게 얘기하면 되는데 오버스러운 연기가 보기 불편하다.지난 회차에서 시도했던 연기자들이 연기하고 출연자들이 소개하는 방식이 이야기에 몰입이나 이해하는데 훨씬 낫다.그 전에도 스토리텔러가 '나는 ~이랬다.저랬다' 왜 굳이 출연진들을 연기 시키려는지 제작진들이 이해가 안가는 부분.
괴담 겪는게 흔한 일도 아니고 잘못하면 주작 방송될수도 있을듯. 길게 갈 프로그램은 아닌듯
이제 괴담프로그렘에서마저 신파를 빨아야하는 현실
이진혁 기대된다구ㅜㅜ
그림자가 이상해요
이게 심야괴담회야 사건파일이야? 아예 이번 이야기는 괴담이 아니라고 할거면 뭐하러 심야괴담회라고 하는 것임? 추적 60분으로 바꾸새요.
바로 재방송 보여주는건가
엄현경 너무 일부러 깐거같아서.. 별루ㅠ
여자는 이세영배우가 굿굿!!!
지방은 언제방송하나요?
신지는 그렇다치고 엄현경씨는 목소리 좀.. 잘 안들려요진짜 집중안되요.. 무슨 목멕혓나…아 진짜 보기싫어요
시간 나는괴스트가 신지뿐이었나봐여ㅠ
저 대형사건을 이렇게 갑자기 내보내면... 그때 아이들 엄마아빠들 떠올라서 마음아파서 어떡하라구... 더구나 이걸 공포이야기로 참나....
전 여자가 읽는것보다 남자배우님들이 읊어주는게 더좋던뎅..
동감이에요.. 애청자로서 정말 두번이나 이야기 이해력이 부족한 게스트를 부르는건 너무하다는 생각이 드네요... 지난번에 재밌는 이야기도 말아먹더니...
도데체 신지방송 왜내보내서 괴담파괴하냐고여구연동화읽냐고/저번때도 깨는목소리로 몰입감 훅 떨어뜨리더니 돼쵴//일주일기다린보람없게///재방2,3번씩보는 애정하는 심야괴담회.이번편은 재방없이넘어갑니다
그 무당역으로 자주나오시는분이 나와야 잼나든딩 ㅋ
오래해야 하는데 제발 오래해주세요. 황제성형 난 좋음.치어업
김구라 발뺀거보니 종영 얼마안남앜ㅅ네 ㅋㅋㅋ
예전에 이야기 속으로 라는 프로그램이 있었다. 그 포멧 그대로 베껴서 지금 방영해도 히트칠거다
황제성 스토리는 항상 집중이 안된다. 그냥 지인들하고 대화하듯이 담백하게 얘기하면 되는데 오버스러운 연기가 보기 불편하다.지난 회차에서 시도했던 연기자들이 연기하고 출연자들이 소개하는 방식이 이야기에 몰입이나 이해하는데 훨씬 낫다.그 전에도 스토리텔러가 '나는 ~이랬다.저랬다' 왜 굳이 출연진들을 연기 시키려는지 제작진들이 이해가 안가는 부분.
괴담 겪는게 흔한 일도 아니고 잘못하면 주작 방송될수도 있을듯. 길게 갈 프로그램은 아닌듯
