newsname
넘재미있어요
익숙한 소재지만 연기자들이 맘에 들어서 첫방 끝까지 봤는데 잼나네요👍
추영우 기대되요 홧팅
넘 재밋어요 ㅜㅜ 내일 방송도 기대됩니당 굿
경찰대 가고싶다ㅠㅠ멋져브러
진영은 가수로 데뷔했어요b1a4요 내안의 그놈 영화도 몆해전 찍었구요
차태현이 순경인가요? 소품에도 신경써야 할듯 ㅉㅉ
kbs드라마서 11시20분에 또 하네요
과하지 않고 담백한 드라마!!
진영 구르미 그린 달빛이랑 영화 내안의 그놈에 나왔어요~
갓세븐진영이랑이름같아서동명이인인줄ㅋ
이거보다 라켓으로 넘어가서 낼부터 집중해야지
올림픽 끝나자마자 바로 볼 드라마가 생겨서 좋네요
진영아ㅠㅠㅠ 기다렸어
재밌네
경찰수어 넘 재미 있네요 내일도 본방수사 할게요더운날씨에 수고 많이 하세요 ~~^^♡
껌딱지 최우성이요
찾아보니까 승범역 배우님 이름 최우성이요
넘 재미있네요오랜만에 힐링
경찰수업 넘 재밋게봣어요본방사수~~ㅎㅎ앞으로의 스토리 기대되요^^
넘재미있어요
익숙한 소재지만 연기자들이 맘에 들어서 첫방 끝까지 봤는데 잼나네요👍
추영우 기대되요 홧팅
넘 재밋어요 ㅜㅜ 내일 방송도 기대됩니당 굿
경찰대 가고싶다ㅠㅠ멋져브러
진영은 가수로 데뷔했어요b1a4요 내안의 그놈 영화도 몆해전 찍었구요
차태현이 순경인가요? 소품에도 신경써야 할듯 ㅉㅉ
kbs드라마서 11시20분에 또 하네요
과하지 않고 담백한 드라마!!
진영 구르미 그린 달빛이랑 영화 내안의 그놈에 나왔어요~
갓세븐진영이랑이름같아서동명이인인줄ㅋ
이거보다 라켓으로 넘어가서 낼부터 집중해야지
올림픽 끝나자마자 바로 볼 드라마가 생겨서 좋네요
진영아ㅠㅠㅠ 기다렸어
재밌네
경찰수어 넘 재미 있네요 내일도 본방수사 할게요더운날씨에 수고 많이 하세요 ~~^^♡
껌딱지 최우성이요
찾아보니까 승범역 배우님 이름 최우성이요
넘 재미있네요오랜만에 힐링
경찰수업 넘 재밋게봣어요본방사수~~ㅎㅎ앞으로의 스토리 기대되요^^
이정도면 실시간 시청률1위 나올듯~~
재밌는데요~월,화에 볼 드라마 생겨서 좋네요
이드라마 재미 있나요? 오늘 못봐서~ㅠㅠ
껌딱지 본명 뭐에요?
껌딱지는 이제 안나오나여?
1화치고 넘재밌어요 굿
저는 재밌게 봤어요ㅎㅎ점점 더 재밌어 질듯요
간만에 재밌는 드라마라 반갑네요. 본방사수할게요.
이거 재밌나요??
추영우 아쉽다 내일은 많이 나올겨~???
승범이 본명이 뭐에요?
그런데로 볼만하네요
가볍게 보기렌 좋은듯 전작보다
정진영 사랑해❤️❤️❤️❤️❤️
실제러 경찰대붙음 로또지 인생 출세함
고3인생 최대 행복 ㅠㅠ
실시간 댓글이 그랬나요???저는 드라마 끝나고 톡방에 와본거라서ㅎ
완전 꿀잼인디,,,
아 존잼 ㅠㅠㅠ진영이 대박나자❤
왜 재밌는뎅..?!?!
넘재미있어요
익숙한 소재지만 연기자들이 맘에 들어서 첫방 끝까지 봤는데 잼나네요👍
추영우 기대되요 홧팅
넘 재밋어요 ㅜㅜ 내일 방송도 기대됩니당 굿
경찰대 가고싶다ㅠㅠ멋져브러
진영은 가수로 데뷔했어요b1a4요 내안의 그놈 영화도 몆해전 찍었구요
차태현이 순경인가요? 소품에도 신경써야 할듯 ㅉㅉ
kbs드라마서 11시20분에 또 하네요
과하지 않고 담백한 드라마!!
진영 구르미 그린 달빛이랑 영화 내안의 그놈에 나왔어요~
갓세븐진영이랑이름같아서동명이인인줄ㅋ
이거보다 라켓으로 넘어가서 낼부터 집중해야지
올림픽 끝나자마자 바로 볼 드라마가 생겨서 좋네요
진영아ㅠㅠㅠ 기다렸어
재밌네
경찰수어 넘 재미 있네요 내일도 본방수사 할게요더운날씨에 수고 많이 하세요 ~~^^♡
껌딱지 최우성이요
찾아보니까 승범역 배우님 이름 최우성이요
넘 재미있네요오랜만에 힐링
경찰수업 넘 재밋게봣어요본방사수~~ㅎㅎ앞으로의 스토리 기대되요^^
이정도면 실시간 시청률1위 나올듯~~
재밌는데요~월,화에 볼 드라마 생겨서 좋네요
이드라마 재미 있나요? 오늘 못봐서~ㅠㅠ
